cell_id,n_fe,fv_mean,fv_wt_mean_vuln,fv_wt_sd_vuln
500150,47,0.45704301938085107,0.04773187867576931,0.0822948254108142
542740,50,0.471451454758,0.043441285435074216,0.07962415228227367
558833,51,0.4557776547529412,0.04490118463356431,0.07721930853993679
506596,49,0.47852687507142855,0.043672508748853624,0.07977900448549247
572565,50,0.45989383757,0.04453310325611585,0.0803476489599618
597111,51,0.4557776547529412,0.04490118463356431,0.07721930853993679
506612,48,0.45692066413541665,0.046690499218714876,0.08171836164313828
567271,51,0.48028807604901963,0.04930314645116693,0.08298007114151781
500283,50,0.457388954758,0.05280683940342247,0.08487598218072306
553476,51,0.4704793674098039,0.05033094602267948,0.08355545690684306
538570,50,0.457388954758,0.05280683940342247,0.08487598218072306
590724,51,0.4704793674098039,0.05033094602267948,0.08355545690684306
522525,47,0.4570014229468085,0.04773622324855042,0.08229743191045429
557652,50,0.45989383757,0.04453310325611585,0.0803476489599618
582231,51,0.4557776547529412,0.04490118463356431,0.07721930853993679
529999,49,0.47852687507142855,0.043672508748853624,0.07977900448549247
553422,50,0.46989383757,0.04358537635068518,0.0797207199079332
528986,49,0.4680039158877551,0.05266244881258548,0.08480135346226758
590665,51,0.48028807604901963,0.04930314645116693,0.08298007114151781
523688,50,0.457388954758,0.05280683940342247,0.08487598218072306
576874,51,0.4704793674098039,0.05033094602267948,0.08355545690684306
507605,47,0.4570014229468085,0.04773622324855042,0.08229743191045429
542772,50,0.45989383757,0.04453310325611585,0.0803476489599618
567351,51,0.4557776547529412,0.04490118463356431,0.07721930853993679
515117,49,0.47852687507142855,0.043672508748853624,0.07977900448549247
586384,50,0.45989383757,0.04453310325611585,0.0803476489599618
515133,48,0.45692066413541665,0.046690499218714876,0.08171836164313828
575788,51,0.48028807604901963,0.04930314645116693,0.08298007114151781
508804,50,0.457388954758,0.05280683940342247,0.08487598218072306
561994,51,0.4704793674098039,0.05033094602267948,0.08355545690684306
547098,50,0.457388954758,0.05280683940342247,0.08487598218072306
551366,51,0.4557776547529412,0.04490118463356431,0.07721930853993679
501262,49,0.47852687507142855,0.043672508748853624,0.07977900448549247
566174,50,0.45989383757,0.04453310325611585,0.0803476489599618
590749,51,0.4557776547529412,0.04490118463356431,0.07721930853993679
500249,49,0.4680039158877551,0.05266244881258548,0.08480135346226758
561940,51,0.48028807604901963,0.04930314645116693,0.08298007114151781
538534,49,0.4680039158877551,0.05266244881258548,0.08480135346226758
599181,51,0.48028807604901963,0.04930314645116693,0.08298007114151781
