cell_id,n_fe,fv_mean,fv_wt_mean_vuln,fv_wt_sd_vuln
900521,51,0.43914750979803924,0.16857069705607272,0.1205519674135885
996471,51,0.43325936561372547,0.17266771820538426,0.1222601414909516
909349,50,0.412542133482,0.15551773448504513,0.11402728105036722
982595,54,0.4207588699222222,0.15285640997731867,0.12191164240128563
927376,52,0.45031072550384615,0.1695010548929694,0.12053432914436565
972163,50,0.42254186634,0.15943443096444865,0.10983411055914072
968712,51,0.42805107902941175,0.17447189509631267,0.11924223675324765
939003,52,0.40989631874615384,0.1526516623871606,0.12217832218458739
952996,50,0.42066686634,0.15990774042863592,0.10985795961427375
943148,50,0.422237095842,0.17119054709424553,0.12154024740989575
905987,56,0.4535830872553571,0.13829437417058357,0.12280183809947533
990154,50,0.439732780494,0.1621587193563068,0.10830439884671954
922194,53,0.4278109929754717,0.15568111691364267,0.12112914647741536
903772,50,0.432871875782,0.16721813947783343,0.1228033993890227
975225,51,0.4516375298960784,0.1737657747889625,0.11948418061817591
944488,50,0.422542133482,0.1556358265390748,0.1126047157000495
961364,51,0.42835740482941176,0.1727883649774263,0.12298559864542005
918903,50,0.432073230818,0.1559515408959764,0.11117991249755474
960494,50,0.411603202894,0.16084280072359514,0.1120536681247687
947488,54,0.4207588699222222,0.15285640997731867,0.12191164240128563
933743,54,0.4630045715592593,0.15869341277806587,0.11731613236106263
989150,50,0.42097936634,0.15991023260330686,0.10981518193948521
984658,50,0.422237095842,0.17119054709424553,0.12154024740989575
903886,53,0.42103035046792453,0.15300371691311146,0.11928941646165746
971050,50,0.430982131994,0.1616074576918679,0.10905528864333716
910562,61,0.4688962248491803,0.18332716051980905,0.11106078579137044
905964,49,0.40151734256530613,0.1523157820873004,0.1124074407532793
955049,50,0.439732780494,0.1621587193563068,0.10830439884671954
933884,50,0.420354652702,0.15727172457827562,0.11351243762342278
901588,51,0.43914750979803924,0.16857069705607272,0.1205519674135885
997517,51,0.43325936561372547,0.17266771820538426,0.1222601414909516
909369,50,0.407542133482,0.15545651520934642,0.1147590867500761
983641,54,0.43001812918148147,0.15307310359323695,0.12054150552568334
927396,52,0.44790687935,0.16954390335098518,0.12087032645479188
972183,50,0.40254186634,0.15938119115249633,0.11266841926879187
968732,51,0.42805107902941175,0.17447189509631267,0.11924223675324765
939023,53,0.42103035046792453,0.15300371691311146,0.11928941646165746
954043,50,0.42097936634,0.15991023260330686,0.10981518193948521
943168,50,0.422237095842,0.17119054709424553,0.12154024740989575
906007,57,0.46316934888245614,0.13913576423983007,0.12043788625358827
991200,50,0.440045280494,0.16215618778900187,0.1082641455015487
922214,53,0.42545250240943394,0.15565436826545762,0.12147939871741673
903792,50,0.423496875782,0.16731387991943117,0.12422004909716738
976271,50,0.440670280494,0.17436750147873878,0.1222558044136533
945535,50,0.432854633482,0.15575380961494287,0.11119218560387667
962410,51,0.42835740482941176,0.1727883649774263,0.12298559864542005
918923,50,0.432073230818,0.1559515408959764,0.11117991249755474
960514,50,0.412228202894,0.16083735022720233,0.11196453729767167
948534,54,0.4207588699222222,0.15285640997731867,0.12191164240128563
934790,54,0.4627152197074074,0.15869076969306006,0.11735428667242677
989170,50,0.42097936634,0.15991023260330686,0.10981518193948521
985727,50,0.422237095842,0.17119054709424553,0.12154024740989575
903906,53,0.4204407278264151,0.1529898102784392,0.11937635408397738
972096,50,0.430982131994,0.1616074576918679,0.10905528864333716
910582,61,0.4688962248491803,0.18332716051980905,0.11106078579137044
907010,49,0.40151734256530613,0.1523157820873004,0.1124074407532793
956095,50,0.439732780494,0.1621587193563068,0.10830439884671954
934930,50,0.417542152702,0.1572521106921217,0.11391299956177132
902656,51,0.43914750979803924,0.16857069705607272,0.1205519674135885
997537,51,0.43325936561372547,0.17266771820538426,0.1222601414909516
910416,50,0.412542133482,0.15551773448504513,0.11402728105036722
