cell_id,n_fe,fv_mean,fv_wt_mean_vuln,fv_wt_sd_vuln
52719,116,0.5038249862775862,0.14346934395145244,0.12081179020339597
72957,116,0.4923953640137931,0.14011871566278852,0.11585162405861717
55931,114,0.4998003265403509,0.13660403932683712,0.11336397538008207
60201,117,0.49459711303931625,0.1445540771133742,0.11868619079014191
64448,117,0.4924603609025641,0.14356369943598327,0.11797281683156233
69758,114,0.49760734408421053,0.13531864325804613,0.1119244259982339
39950,24,0.7981770833333334,0.19827706965898276,0.16201226657114304
69761,114,0.49760734408421053,0.13531864325804613,0.1119244259982339
88893,116,0.5037576371396552,0.14345016596327337,0.12080845051676603
80402,114,0.49815558969824564,0.13544171740787625,0.11192221099690157
94224,117,0.4913252113299145,0.14299851158735008,0.117506667150986
44225,43,0.7659883720930233,0.13450333064167885,0.13622599390702833
27181,24,0.7981770833333334,0.19827706965898276,0.16201226657114304
13353,21,0.8526785714285714,0.1892957867019761,0.16437415214780973
67618,116,0.5038249862775862,0.14346934395145244,0.12081179020339597
77199,114,0.4937696247859649,0.13496977876983496,0.11126463716642798
60202,115,0.5019759758747826,0.14109586857516637,0.11643407826288005
64449,116,0.4923953640137931,0.14011871566278852,0.11585162405861717
69759,114,0.49760734408421053,0.13531864325804613,0.1119244259982339
14416,24,0.7981770833333334,0.19827706965898276,0.16201226657114304
55949,5,0.4375,0.38348050450546034,0.027960435296769712
52720,116,0.5038249862775862,0.14346934395145244,0.12081179020339597
74004,117,0.49139198483418806,0.14301806812121362,0.1175106978140508
55932,117,0.4924603609025641,0.14356369943598327,0.11797281683156233
94225,117,0.49139198483418806,0.14301806812121362,0.1175106978140508
44226,48,0.748046875,0.15217587206487884,0.14318327456608596
39951,22,0.7911931818181818,0.18187552412260893,0.1610131013453853
13354,24,0.7981770833333334,0.19827706965898276,0.16201226657114304
69762,115,0.49980206283130435,0.14008802617532376,0.11566429734532362
89955,116,0.5037576371396552,0.14345016596327337,0.12080845051676603
81452,114,0.49815558969824564,0.13544171740787625,0.11192221099690157
60203,115,0.5019759758747826,0.14109586857516637,0.11643407826288005
