cell_id,n_fe,fv_mean,fv_wt_mean_vuln,fv_wt_sd_vuln
900521,51,0.43914750979803924,0.21487095436857065,0.21996750988849262
996471,51,0.43325936561372547,0.20585368041507446,0.21850965765348435
909349,50,0.412542133482,0.21249409468381933,0.2304927237128863
982595,54,0.4207588699222222,0.19650709966054064,0.21946186015450106
927376,52,0.45031072550384615,0.221775165857589,0.23001783522125058
972163,50,0.42254186634,0.23270630874645568,0.23528251321745772
968712,51,0.42805107902941175,0.21969993562602677,0.22056553941288715
939003,52,0.40989631874615384,0.1973381479498479,0.22258704521413386
952996,50,0.42066686634,0.233556104402242,0.23547004906041746
943148,50,0.422237095842,0.21745769707702453,0.2256734010243724
905987,56,0.4535830872553571,0.17223937364544434,0.2129619469258309
990154,50,0.439732780494,0.2331680772437908,0.23155527434795387
922194,53,0.4278109929754717,0.20129909282234945,0.22355620484328215
903772,50,0.432871875782,0.21180302591586592,0.22501744142545171
975225,51,0.4516375298960784,0.22349127621581324,0.23140923532086505
944488,50,0.422542133482,0.21988138740972044,0.23274512954444893
961364,51,0.42835740482941176,0.20228428683659574,0.21711778091929151
918903,50,0.432073230818,0.22788628626053647,0.23524130052249412
960494,50,0.411603202894,0.21610899997836058,0.22691715856140246
947488,54,0.4207588699222222,0.19650709966054064,0.21946186015450106
933743,54,0.4630045715592593,0.21393172846959652,0.22584124519697646
989150,50,0.42097936634,0.2337524068070108,0.235493929981861
984658,50,0.422237095842,0.21745769707702453,0.2256734010243724
903886,53,0.42103035046792453,0.21200567790192704,0.22808160001555758
971050,50,0.430982131994,0.23323565460459839,0.2326363635690165
910562,61,0.4688962248491803,0.17769382348996532,0.1971836036423861
905964,49,0.40151734256530613,0.21577062454134247,0.2269496870608903
955049,50,0.439732780494,0.2331680772437908,0.23155527434795387
933884,50,0.420354652702,0.21176237594490446,0.22686472411579864
901588,51,0.43914750979803924,0.21487095436857065,0.21996750988849262
997517,51,0.43325936561372547,0.20585368041507446,0.21850965765348435
909369,50,0.407542133482,0.20866449993445074,0.22921568498741088
983641,54,0.43001812918148147,0.20297762380955314,0.2215128382202357
927396,52,0.44790687935,0.22028873702068885,0.22972315371267726
972183,50,0.40254186634,0.21777289195034744,0.2308808439582806
968732,51,0.42805107902941175,0.21969993562602677,0.22056553941288715
939023,53,0.42103035046792453,0.21200567790192704,0.22808160001555758
954043,50,0.42097936634,0.2337524068070108,0.235493929981861
943168,50,0.422237095842,0.21745769707702453,0.2256734010243724
906007,57,0.46316934888245614,0.185587489143265,0.2197069772647908
991200,50,0.440045280494,0.23326044303497342,0.2314953901156567
922214,53,0.42545250240943394,0.19953861473147233,0.2228887477485439
903792,50,0.423496875782,0.20548255171950586,0.22332325541399733
976271,50,0.440670280494,0.20982359429107603,0.2271317377406357
945535,50,0.432854633482,0.2275217515137175,0.23518477381913258
962410,51,0.42835740482941176,0.20228428683659574,0.21711778091929151
918923,50,0.432073230818,0.22788628626053647,0.23524130052249412
960514,50,0.412228202894,0.21643109343123035,0.22690932283535153
948534,54,0.4207588699222222,0.19650709966054064,0.21946186015450106
934790,54,0.4627152197074074,0.21375470925358447,0.22579915911867723
989170,50,0.42097936634,0.2337524068070108,0.235493929981861
985727,50,0.422237095842,0.21745769707702453,0.2256734010243724
903906,53,0.4204407278264151,0.21160598889289708,0.22798720403003397
972096,50,0.430982131994,0.23323565460459839,0.2326363635690165
910582,61,0.4688962248491803,0.17769382348996532,0.1971836036423861
907010,49,0.40151734256530613,0.21577062454134247,0.2269496870608903
956095,50,0.439732780494,0.2331680772437908,0.23155527434795387
934930,50,0.417542152702,0.20972150980470794,0.22622503532370028
902656,51,0.43914750979803924,0.21487095436857065,0.21996750988849262
997537,51,0.43325936561372547,0.20585368041507446,0.21850965765348435
910416,50,0.412542133482,0.21249409468381933,0.2304927237128863
983661,54,0.4207588699222222,0.19650709966054064,0.21946186015450106
928443,52,0.44790687935,0.22028873702068885,0.22972315371267726
973230,50,0.41254186634,0.22521129931398687,0.2329994299835006
969778,51,0.42805107902941175,0.21969993562602677,0.22056553941288715
940077,53,0.42103035046792453,0.21200567790192704,0.22808160001555758
954063,50,0.42066686634,0.233556104402242,0.23547004906041746
944214,50,0.422237095842,0.21745769707702453,0.2256734010243724
907054,56,0.4535830872553571,0.17223937364544434,0.2129619469258309
991220,50,0.439732780494,0.2331680772437908,0.23155527434795387
923261,53,0.4278109929754717,0.20129909282234945,0.22355620484328215
904838,50,0.432871875782,0.21180302591586592,0.22501744142545171
976291,51,0.4510247847980392,0.22311968285656245,0.2313436624675673
945555,50,0.422542133482,0.21988138740972044,0.23274512954444893
962430,51,0.42835740482941176,0.20228428683659574,0.21711778091929151
919970,50,0.432073230818,0.22788628626053647,0.23524130052249412
961561,50,0.411915702894,0.216321104055455,0.2269639144595849
948554,54,0.4207588699222222,0.19650709966054064,0.21946186015450106
935837,54,0.46416197896666667,0.21457786632472253,0.2259361043328276
990217,50,0.42097936634,0.2337524068070108,0.235493929981861
987849,50,0.422237095842,0.21745769707702453,0.2256734010243724
904953,53,0.42103035046792453,0.21200567790192704,0.22808160001555758
972116,50,0.430982131994,0.23323565460459839,0.2326363635690165
911628,61,0.4688962248491803,0.17769382348996532,0.1971836036423861
907030,49,0.40151734256530613,0.21577062454134247,0.2269496870608903
956115,50,0.439732780494,0.2331680772437908,0.23155527434795387
934950,50,0.420354652702,0.21176237594490446,0.22686472411579864
903725,51,0.43914750979803924,0.21487095436857065,0.21996750988849262
998585,51,0.43325936561372547,0.20585368041507446,0.21850965765348435
910436,50,0.407542133482,0.20866449993445074,0.22921568498741088
984707,54,0.43001812918148147,0.20297762380955314,0.2215128382202357
929489,52,0.45031072550384615,0.221775165857589,0.23001783522125058
973250,50,0.40254186634,0.21777289195034744,0.2308808439582806
969798,51,0.42805107902941175,0.21969993562602677,0.22056553941288715
941150,53,0.42103035046792453,0.21200567790192704,0.22808160001555758
955109,50,0.42097936634,0.2337524068070108,0.235493929981861
944234,50,0.422237095842,0.21745769707702453,0.2256734010243724
908101,56,0.4580473729696429,0.1756069823277649,0.21468782131224645
992266,50,0.440045280494,0.23326044303497342,0.2314953901156567
923281,53,0.4242732571264151,0.19869266271356353,0.22260675040265368
904858,50,0.423496875782,0.20548255171950586,0.22332325541399733
977337,50,0.440670280494,0.20982359429107603,0.2271317377406357
946605,50,0.432542133482,0.2273263370310455,0.23515594782388413
963476,51,0.42835740482941176,0.20228428683659574,0.21711778091929151
921017,50,0.432073230818,0.22788628626053647,0.23524130052249412
961581,50,0.412228202894,0.21643109343123035,0.22690932283535153
949600,54,0.4207588699222222,0.19650709966054064,0.21946186015450106
935857,54,0.4627152197074074,0.21375470925358447,0.22579915911867723
990237,50,0.42097936634,0.2337524068070108,0.235493929981861
989976,50,0.422237095842,0.21745769707702453,0.2256734010243724
904973,53,0.41985110518490565,0.21129911388255565,0.22798709909514311
