cell_id,n_fe,fv_mean,fv_wt_mean_vuln,fv_wt_sd_vuln
500150,47,0.45704301938085107,0.20013700574620413,0.23761167020100743
542740,50,0.471451454758,0.18842871331467387,0.23056246925484095
558833,51,0.4557776547529412,0.1963629367275659,0.225092494039681
506596,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
572565,50,0.45989383757,0.19289487504687583,0.2313531941353908
597111,51,0.4557776547529412,0.1963629367275659,0.225092494039681
506612,48,0.45692066413541665,0.2025049933577399,0.23273615009636608
567271,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
500283,50,0.457388954758,0.21652892408670596,0.23507917764105693
553476,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
538570,50,0.457388954758,0.21652892408670596,0.23507917764105693
590724,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
522525,47,0.4570014229468085,0.20014702153749356,0.2376205876395958
557652,50,0.45989383757,0.19289487504687583,0.2313531941353908
582231,51,0.4557776547529412,0.1963629367275659,0.225092494039681
529999,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
553422,50,0.46989383757,0.18929398526660599,0.2301518910231703
528986,49,0.4680039158877551,0.21534746032803262,0.2355389347957735
590665,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
523688,50,0.457388954758,0.21652892408670596,0.23507917764105693
576874,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
507605,47,0.4570014229468085,0.20014702153749356,0.2376205876395958
542772,50,0.45989383757,0.19289487504687583,0.2313531941353908
567351,51,0.4557776547529412,0.1963629367275659,0.225092494039681
515117,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
586384,50,0.45989383757,0.19289487504687583,0.2313531941353908
515133,48,0.45692066413541665,0.2025049933577399,0.23273615009636608
575788,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
508804,50,0.457388954758,0.21652892408670596,0.23507917764105693
561994,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
547098,50,0.457388954758,0.21652892408670596,0.23507917764105693
551366,51,0.4557776547529412,0.1963629367275659,0.225092494039681
501262,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
566174,50,0.45989383757,0.19289487504687583,0.2313531941353908
590749,51,0.4557776547529412,0.1963629367275659,0.225092494039681
500249,49,0.4680039158877551,0.21534746032803262,0.2355389347957735
561940,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
538534,49,0.4680039158877551,0.21534746032803262,0.2355389347957735
599181,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
532208,50,0.457388954758,0.21652892408670596,0.23507917764105693
585391,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
516130,47,0.4570014229468085,0.20014702153749356,0.2376205876395958
551291,50,0.45989383757,0.19289487504687583,0.2313531941353908
576898,51,0.4557776547529412,0.1963629367275659,0.225092494039681
524664,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
547062,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
523653,49,0.4680039158877551,0.21534746032803262,0.2355389347957735
584305,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
518354,50,0.457388954758,0.21652892408670596,0.23507917764105693
570512,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
501242,47,0.4570014229468085,0.20014702153749356,0.2376205876395958
553381,50,0.471451454758,0.18842871331467387,0.23056246925484095
562020,51,0.4557776547529412,0.1963629367275659,0.225092494039681
509782,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
576813,50,0.45989383757,0.19289487504687583,0.2313531941353908
599267,51,0.4557776547529412,0.1963629367275659,0.225092494039681
508770,49,0.4680039158877551,0.21534746032803262,0.2355389347957735
570457,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
503470,50,0.457388954758,0.21652892408670596,0.23507917764105693
556661,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
541757,50,0.457388954758,0.21652892408670596,0.23507917764105693
593908,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
526776,47,0.4570014229468085,0.20014702153749356,0.2376205876395958
560836,50,0.45989383757,0.19289487504687583,0.2313531941353908
585416,51,0.4557776547529412,0.1963629367275659,0.225092494039681
533183,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
555579,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
532173,49,0.4680039158877551,0.21534746032803262,0.2355389347957735
593850,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
526875,50,0.457388954758,0.21652892408670596,0.23507917764105693
580058,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
509761,47,0.4570014229468085,0.20014702153749356,0.2376205876395958
545957,50,0.45989383757,0.19289487504687583,0.2313531941353908
570538,51,0.4557776547529412,0.1963629367275659,0.225092494039681
518301,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
592776,50,0.45989383757,0.19289487504687583,0.2313531941353908
518319,48,0.45692066413541665,0.2025049933577399,0.23273615009636608
578973,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
511990,50,0.457388954758,0.21652892408670596,0.23507917764105693
565180,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
536361,50,0.471451454758,0.18842871331467387,0.23056246925484095
556685,51,0.4557776547529412,0.1963629367275659,0.225092494039681
503418,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
569370,50,0.45989383757,0.19289487504687583,0.2313531941353908
593934,51,0.4557776547529412,0.1963629367275659,0.225092494039681
503435,48,0.45692066413541665,0.2025049933577399,0.23273615009636608
565124,50,0.46989383757,0.18929398526660599,0.2301518910231703
541726,49,0.4680039158877551,0.21534746032803262,0.2355389347957735
551329,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
535395,50,0.457388954758,0.21652892408670596,0.23507917764105693
588575,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
519330,47,0.4570014229468085,0.20014702153749356,0.2376205876395958
554475,50,0.45989383757,0.19289487504687583,0.2313531941353908
579056,51,0.4557776547529412,0.1963629367275659,0.225092494039681
526821,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
550246,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
526838,49,0.4680039158877551,0.21534746032803262,0.2355389347957735
587490,51,0.48028807604901963,0.20185658153740377,0.2336259171946795
520511,50,0.457388954758,0.21652892408670596,0.23507917764105693
573698,51,0.4704793674098039,0.20605944011441837,0.2342281442962759
504428,47,0.4570014229468085,0.20014702153749356,0.2376205876395958
540622,50,0.45989383757,0.19289487504687583,0.2313531941353908
565204,51,0.4557776547529412,0.1963629367275659,0.225092494039681
512968,49,0.47852687507142855,0.18976164483342126,0.23053732214449782
581075,50,0.45989383757,0.19289487504687583,0.2313531941353908
