am_sid,comname,kingdom,phylum,class,order,family,iucn_sid,am_sciname,sciname
fis-132490,,animalia,chordata,actinopterygii,myctophiformes,myctophidae,129511143,parvilux boschmai,parvilux boschmai
fis-132808,streaklight tubeshoulder,animalia,chordata,actinopterygii,osmeriformes,platytroctidae,NA,holtbyrnia latifrons,holtbyrnia latifrons
fis-149523,,animalia,chordata,actinopterygii,anguilliformes,nemichthyidae,NA,avocettina bowersii,avocettina bowersii
fis-134463,,animalia,chordata,actinopterygii,ophidiiformes,bythitidae,135440706,cataetyx simus,cataetyx simus
fis-134593,,animalia,chordata,actinopterygii,lophiiformes,ogcocephalidae,140337799,halieutopsis bathyoreos,halieutopsis bathyoreos
fis-138079,,animalia,chordata,actinopterygii,ophidiiformes,ophidiidae,137496751,dicrolene filamentosa,dicrolene filamentosa
fis-138158,bagbelly cusk,animalia,chordata,actinopterygii,ophidiiformes,bythitidae,135443237,saccogaster tuberculata,saccogaster tuberculata
fis-139416,giant leptocephalus,animalia,chordata,actinopterygii,notacanthiformes,notacanthidae,NA,leptocephalus giganteus,leptocephalus giganteus
fis-139428,,animalia,chordata,actinopterygii,saccopharyngiformes,saccopharyngidae,141363974,saccopharynx lavenbergi,saccopharynx lavenbergi
fis-139531,,animalia,chordata,actinopterygii,lophiiformes,oneirodidae,42830260,dolopichthys allector,dolopichthys allector
fis-139713,,animalia,chordata,actinopterygii,lophiiformes,oneirodidae,60482562,phyllorhinichthys micractis,phyllorhinichthys micractis
fis-141387,blackest whiptail,animalia,chordata,actinopterygii,gadiformes,macrouridae,135385234,hymenocephalus aterrimus,hymenocephalus aterrimus
fis-142473,,animalia,chordata,actinopterygii,scorpaeniformes,cottidae,NA,bolinia euryptera,bolinia euryptera
fis-143534,,animalia,chordata,actinopterygii,lophiiformes,ogcocephalidae,140300290,dibranchus hystrix,dibranchus hystrix
fis-149527,,animalia,chordata,actinopterygii,lophiiformes,ogcocephalidae,140300494,dibranchus spongiosa,dibranchus spongiosa
fis-143552,,animalia,chordata,actinopterygii,lophiiformes,ogcocephalidae,140300461,dibranchus spinosus,dibranchus spinosus
fis-143556,,animalia,chordata,actinopterygii,lophiiformes,ogcocephalidae,140300257,dibranchus erinaceus,dibranchus erinaceus
fis-143560,,animalia,chordata,actinopterygii,lophiiformes,ogcocephalidae,140300357,dibranchus nudivomer,dibranchus nudivomer
fis-143735,dogface witch eel,animalia,chordata,actinopterygii,anguilliformes,nettastomatidae,NA,facciolella equatorialis,facciolella equatorialis
fis-143859,,animalia,chordata,actinopterygii,lophiiformes,caulophrynidae,60469615,caulophryne pelagica,caulophryne pelagica
fis-143868,pacific footballfish,animalia,chordata,actinopterygii,lophiiformes,himantolophidae,140079099,himantolophus sagamius,himantolophus sagamius
fis-144053,northern rock sole,animalia,chordata,actinopterygii,pleuronectiformes,pleuronectidae,NA,lepidopsetta polyxystra,lepidopsetta polyxystra
fis-144240,,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycenchelys pearcyi,lycenchelys pearcyi
fis-144330,pacific black scabbardfish,animalia,chordata,actinopterygii,perciformes,trichiuridae,NA,aphanopus arigato,aphanopus arigato
fis-145225,pale snipe eel,animalia,chordata,actinopterygii,anguilliformes,nemichthyidae,NA,nemichthys larseni,nemichthys larseni
fis-145428,,animalia,chordata,actinopterygii,lophiiformes,oneirodidae,155305,oneirodes luetkeni,oneirodes luetkeni
fis-145434,,animalia,chordata,actinopterygii,lophiiformes,oneirodidae,140349409,oneirodes rosenblatti,oneirodes rosenblatti
fis-147633,,animalia,chordata,actinopterygii,aulopiformes,notosudidae,123323873,scopelosaurus adleri,scopelosaurus adleri
fis-148363,north pacific daggertooth,animalia,chordata,actinopterygii,aulopiformes,anotopteridae,123321057,anotopterus nikparini,anotopterus nikparini
fis-148816,,animalia,chordata,actinopterygii,scorpaeniformes,cyclopteridae,NA,eumicrotremus asperrimus,eumicrotremus asperrimus
fis-149263,big roughy,animalia,chordata,actinopterygii,beryciformes,trachichthyidae,123358301,gephyroberyx japonicus,gephyroberyx japonicus
fis-149460,,animalia,chordata,actinopterygii,myctophiformes,myctophidae,NA,nannobrachium crypticum,nannobrachium crypticum
fis-149461,,animalia,chordata,actinopterygii,myctophiformes,myctophidae,155320,nannobrachium gibbsi,nannobrachium gibbsi
fis-149478,,animalia,chordata,actinopterygii,myctophiformes,myctophidae,129511241,triphoturus oculeum,triphoturus oculeum
fis-149572,winged spookfish,animalia,chordata,actinopterygii,osmeriformes,opisthoproctidae,NA,dolichopteryx parini,dolichopteryx parini
fis-156400,,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,bothrocara nyx,bothrocara nyx
fis-158070,goldeneye snailfish,animalia,chordata,actinopterygii,scorpaeniformes,liparidae,NA,allocareproctus unangas,allocareproctus unangas
fis-160414,light dusky rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes variabilis,sebastes variabilis
fis-162475,bering eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycodes beringi,lycodes beringi
fis-163753,,animalia,chordata,actinopterygii,stephanoberyciformes,melamphaidae,141364039,poromitra curilensis,poromitra curilensis
fis-163919,giant triangular batfish,animalia,chordata,actinopterygii,lophiiformes,ogcocephalidae,140346387,malthopsis gigas,malthopsis gigas
fis-164793,pacific spiny dogfish,animalia,chordata,elasmobranchii,squaliformes,squalidae,195488,squalus suckleyi,squalus suckleyi
fis-169054,blackspotted rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes melanostictus,sebastes melanostictus
fis-169595,tomato snailfish,animalia,chordata,actinopterygii,scorpaeniformes,liparidae,NA,careproctus lycopersicus,careproctus lycopersicus
fis-171617,,animalia,chordata,actinopterygii,lophiiformes,himantolophidae,60470918,himantolophus rostratus,himantolophus rostratus
slb-10005,foliate kelp crab,animalia,arthropoda,malacostraca,decapoda,epialtidae,NA,mimulus foliatus,pugettia foliata
w-bch-240780,northern kelp crab,animalia,arthropoda,malacostraca,decapoda,epialtidae,NA,pugettia producta,pugettia producta
w-bch-441490,cryptic kelp crab,animalia,arthropoda,malacostraca,decapoda,epialtidae,NA,pugettia richii,pugettia richii
its-97966,pinch bug,animalia,arthropoda,malacostraca,decapoda,galatheidae,NA,munida quadrispina,munida quadrispina
its-98024,,animalia,arthropoda,malacostraca,decapoda,galatheidae,NA,munidopsis diomedeae,galacantha diomedeae
w-pol-130673,,animalia,annelida,polychaeta,aciculata,phyllodocidae,NA,phyllodoce longipes,phyllodoce longipes
its-96596,squat urchin shrimp,animalia,arthropoda,malacostraca,decapoda,gnathophyllidae,NA,gnathophylloides mineri,gnathophylloides mineri
its-682581,,animalia,arthropoda,malacostraca,stomatopoda,tetrasquillidae,NA,heterosquilloides insignis,heterosquilloides insignis
its-96807,circumpolar eualid,animalia,arthropoda,malacostraca,decapoda,hippolytidae,NA,eualus gaimardii,eualus gaimardii
w-hyd-117504,,animalia,cnidaria,hydrozoa,narcomedusae,cuninidae,NA,solmissus incisa,solmissus incisa
its-96787,spiny lebbeid,animalia,arthropoda,malacostraca,decapoda,hippolytidae,NA,lebbeus groenlandicus,lebbeus groenlandicus
w-msc-197236,,animalia,mollusca,bivalvia,arcoida,limopsidae,NA,limopsis marionensis,limopsis marionensis
its-96792,polar lebbeid,animalia,arthropoda,malacostraca,decapoda,hippolytidae,NA,lebbeus polaris,lebbeus polaris
its-96897,red rock shrimp,animalia,arthropoda,malacostraca,decapoda,hippolytidae,NA,lysmata californica,lysmata californica
w-asc-252278,,animalia,chordata,ascidiacea,pleurogona,styelidae,NA,botrylloides diegensis,botrylloides diegensis
its-97921,fuzzy crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,acantholithodes hispidus,acantholithodes hispidus
its-97953,umbrella crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,cryptolithodes sitchensis,cryptolithodes sitchensis
its-97954,butterfly crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,cryptolithodes typicus,cryptolithodes typicus
its-660179,golden king crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,lithodes aequispinus,lithodes aequispinus
its-97950,puget sound king crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,lopholithodes mandtii,lopholithodes mandtii
its-97937,brown king crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,paralithodes brevipes,paralithodes brevipes
its-97935,red king crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,paralithodes camtschaticus,paralithodes camtschaticus
its-97936,blue king crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,paralithodes platypus,paralithodes platypus
its-97947,verill's crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,paralomis verrilli,paralomis verrilli
its-97933,flatspine triangle crab,animalia,arthropoda,malacostraca,decapoda,lithodidae,NA,phyllolithodes papillosus,phyllolithodes papillosus
its-96117,peaked shrimp,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,acanthephyra curtirostris,acanthephyra curtirostris
its-96120,,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,acanthephyra eximia,acanthephyra eximia
its-659848,,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,acanthephyra quadrispinosa,acanthephyra quadrispinosa
its-96110,pacific ambereye,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,hymenodora frontalis,hymenodora frontalis
its-96109,northern ambereye,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,hymenodora glacialis,hymenodora glacialis
its-96111,,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,hymenodora gracilis,hymenodora gracilis
its-96126,,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,meningodora mollis,meningodora mollis
its-96148,,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,notostomus elegans,notostomus elegans
its-96149,,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,notostomus gibbosus,notostomus gibbosus
its-96137,quayle spinytail,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,systellaspis braueri,systellaspis braueri
its-96139,,animalia,arthropoda,malacostraca,decapoda,oplophoridae,NA,systellaspis debilis,systellaspis debilis
w-bch-107315,snow crab,animalia,arthropoda,malacostraca,decapoda,oregoniidae,NA,chionoecetes opilio,chionoecetes opilio
w-bch-442169,long clawed spider crab,animalia,arthropoda,malacostraca,decapoda,oregoniidae,NA,macroregonia macrochira,macroregonia macrochira
w-bch-442171,graceful decorator crab,animalia,arthropoda,malacostraca,decapoda,oregoniidae,NA,oregonia gracilis,oregonia gracilis
its-97837,widehand hermit,animalia,arthropoda,malacostraca,decapoda,paguridae,NA,elassochirus tenuimanus,elassochirus tenuimanus
its-96545,twoclaw shrimp,animalia,arthropoda,malacostraca,decapoda,palaemonidae,NA,brachycarpus biunguiculatus,brachycarpus biunguiculatus
w-pol-334506,,animalia,annelida,polychaeta,aciculata,phyllodocidae,NA,phyllodoce groenlandica,phyllodoce groenlandica
w-pol-131414,,animalia,annelida,polychaeta,phyllodocida,syllidae,NA,syllis amica,syllis amica
w-pol-334177,,animalia,annelida,polychaeta,aciculata,nereididae,NA,nereis callaona,nereis callaona
w-pol-131188,,animalia,annelida,polychaeta,canalipalpata,spionidae,NA,spiophanes kroyeri,spiophanes kroyeri
its-96549,southern algae shrimp,animalia,arthropoda,malacostraca,decapoda,palaemonidae,NA,palaemonella holmesi,palaemonella holmesi
w-pol-130460,solitary tube worm,animalia,annelida,polychaeta,aciculata,onuphidae,NA,diopatra neapolitana,diopatra neapolitana
w-pol-332992,,animalia,annelida,polychaeta,canalipalpata,cirratulidae,NA,aphelochaeta multifilis,aphelochaeta multifilis
w-pol-131415,,animalia,annelida,polychaeta,phyllodocida,syllidae,NA,syllis armillaris,syllis armillaris
w-pol-195986,,animalia,annelida,polychaeta,phyllodocida,syllidae,NA,salvatoria clavata,salvatoria clavata
its-97074,smooth nylon shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,heterocarpus laevigatus,heterocarpus laevigatus
its-96995,sidestriped shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pandalopsis dispar,pandalus dispar
its-96967,northern shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pandalus borealis,pandalus borealis
its-96982,dock shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pandalus danae,pandalus danae
its-621110,alaskan pink shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pandalus eous,pandalus eous
its-96968,humpy shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pandalus goniurus,pandalus goniurus
its-96981,coonstriped shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pandalus hypsinotus,pandalus hypsinotus
its-96970,ocean shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pandalus jordani,pandalus jordani
its-96984,roughpatch shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pandalus stenolepis,pandalus stenolepis
its-96977,yellowleg pandalid,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pandalus tridens,pandalus tridens
its-660002,,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,pantomus affinis,pantomus affinis
its-97045,guinea striped shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,plesionika williamsi,plesionika williamsi
its-96185,grooveback shrimp,animalia,arthropoda,malacostraca,decapoda,pasiphaeidae,NA,parapasiphae sulcatifrons,parapasiphae sulcatifrons
its-96163,pacific glass shrimp,animalia,arthropoda,malacostraca,decapoda,pasiphaeidae,NA,pasiphaea pacifica,pasiphaea pacifica
its-96165,crimson pasiphaeid,animalia,arthropoda,malacostraca,decapoda,pasiphaeidae,NA,pasiphaea tarda,pasiphaea tarda
w-hex-283337,moonglow anemone,animalia,cnidaria,anthozoa,actiniaria,actiniidae,NA,anthopleura artemisia,anthopleura artemisia
w-msc-395234,,animalia,mollusca,aplacophora,cavibelonia,simrothiellidae,NA,helicoradomenia juani,helicoradomenia juani
w-msc-449948,,animalia,mollusca,gastropoda,vetigastropoda,lepetodrilidae,NA,clypeosectus curvus,clypeosectus curvus
w-msc-449949,,animalia,mollusca,gastropoda,vetigastropoda,lepetodrilidae,NA,clypeosectus delectus,clypeosectus delectus
w-msc-449970,,animalia,mollusca,gastropoda,vetigastropoda,lepetodrilidae,NA,lepetodrilus cristatus,lepetodrilus cristatus
w-msc-449971,,animalia,mollusca,gastropoda,vetigastropoda,lepetodrilidae,NA,lepetodrilus elevatus,lepetodrilus elevatus
w-msc-449972,,animalia,mollusca,gastropoda,vetigastropoda,lepetodrilidae,NA,lepetodrilus fucensis,lepetodrilus fucensis
w-msc-449977,,animalia,mollusca,gastropoda,vetigastropoda,lepetodrilidae,NA,lepetodrilus ovalis,lepetodrilus ovalis
w-msc-449978,,animalia,mollusca,gastropoda,vetigastropoda,lepetodrilidae,NA,lepetodrilus pustulosus,lepetodrilus pustulosus
w-msc-536893,,animalia,mollusca,gastropoda,archaeogastropoda,trochidae,NA,bathymargarites symplector,bathymargarites symplector
w-msc-449983,,animalia,mollusca,gastropoda,not assigned,neomphalidae,NA,melanodrymia aurantiaca,melanodrymia aurantiaca
w-msc-449994,,animalia,mollusca,gastropoda,not assigned,neomphalidae,NA,pachydermia laevis,pachydermia laevis
w-msc-413442,,animalia,mollusca,gastropoda,not assigned,peltospiridae,NA,depressigyra globulus,depressigyra globulus
w-msc-450005,,animalia,mollusca,gastropoda,caenogastropoda,provannidae,NA,provanna laevis,provanna laevis
w-msc-450012,,animalia,mollusca,gastropoda,caenogastropoda,provannidae,NA,provanna variabilis,provanna variabilis
w-msc-464366,,animalia,mollusca,bivalvia,veneroida,vesicomyidae,NA,calyptogena magnifica,turneroconcha magnifica
w-msc-183000,,animalia,mollusca,bivalvia,mytiloida,mytilidae,NA,bathymodiolus thermophilus,bathymodiolus thermophilus
w-pol-330201,,animalia,annelida,polychaeta,eunicida,dorvilleidae,NA,ophryotrocha globopalpata,ophryotrocha globopalpata
w-pol-334364,,animalia,annelida,polychaeta,terebellida,alvinellidae,NA,paralvinella sulfincola,paralvinella sulfincola
w-cop-348896,,animalia,arthropoda,maxillopoda,siphonostomatoida,dirivultidae,NA,aphotopontius mammillatus,aphotopontius mammillatus
w-bch-440288,,animalia,arthropoda,malacostraca,decapoda,bythograeidae,NA,bythograea microps,bythograea microps
w-bch-440289,,animalia,arthropoda,malacostraca,decapoda,bythograeidae,NA,bythograea thermydron,bythograea thermydron
w-oph-238166,,animalia,echinodermata,ophiuroidea,ophiurida,ophiuridae,NA,spinophiura jolliveti,spinophiura jolliveti
slb-120057,,animalia,arthropoda,malacostraca,decapoda,galatheidae,NA,galacantha rostrata,galacantha rostrata
w-pol-131573,stroem's trichobranchid worm,animalia,annelida,polychaeta,canalipalpata,trichobranchidae,NA,terebellides stroemii,terebellides stroemii
w-bch-441601,moss crab,animalia,arthropoda,malacostraca,decapoda,epialtidae,NA,loxorhynchus crispatus,loxorhynchus crispatus
w-bch-441698,sharpnose crab,animalia,arthropoda,malacostraca,decapoda,epialtidae,NA,scyra acutifrons,scyra acutifrons
its-660110,blind lobster,animalia,arthropoda,malacostraca,decapoda,polychelidae,185038,pentacheles laevis,pentacheles laevis
its-95923,,animalia,arthropoda,malacostraca,decapoda,sergestidae,NA,sergestes atlanticus,sergestes atlanticus
its-95940,,animalia,arthropoda,malacostraca,decapoda,sergestidae,NA,sergia bigemmea,gardinerosergia bigemmea
slb-12493,,animalia,arthropoda,malacostraca,decapoda,sergestidae,NA,sergia creber,robustosergia regalis
its-95944,,animalia,arthropoda,malacostraca,decapoda,sergestidae,NA,sergia gardineri,gardinerosergia gardineri
its-95949,,animalia,arthropoda,malacostraca,decapoda,sergestidae,NA,sergia scintillans,scintillosergia scintillans
its-684695,,animalia,arthropoda,malacostraca,decapoda,sergestidae,NA,sergia tenuiremis,sergia tenuiremis
slb-125430,oriental narwal shrimp,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,plesionika spinipes,plesionika spinipes
its-551986,,animalia,arthropoda,malacostraca,decapoda,solenoceridae,NA,hymenopenaeus halli,hymenopenaeus halli
w-ech-568594,,animalia,echinodermata,echinoidea,spatangoida,urechinidae,NA,cystechinus loveni,cystechinus loveni
its-98208,blue mud shrimp,animalia,arthropoda,malacostraca,decapoda,upogebiidae,NA,upogebia pugettensis,upogebia pugettensis
wbd-eup-35,isada krill,animalia,arthropoda,malacostraca,euphausiacea,euphausiidae,NA,euphausia pacifica,euphausia pacifica
wbd-eup-49,,animalia,arthropoda,malacostraca,euphausiacea,euphausiidae,NA,nematobrachion flexipes,nematobrachion flexipes
w-msc-714919,incongruous macoma,animalia,mollusca,bivalvia,veneroida,tellinidae,NA,macoma incongrua,macoma incongrua
wbd-eup-72,,animalia,arthropoda,malacostraca,euphausiacea,euphausiidae,NA,stylocheiron maximum,stylocheiron maximum
wbd-eup-78,,animalia,arthropoda,malacostraca,euphausiacea,euphausiidae,NA,thysanoessa inermis,thysanoessa inermis
wbd-eup-81,,animalia,arthropoda,malacostraca,euphausiacea,euphausiidae,NA,thysanoessa longipes,thysanoessa longipes
wbd-eup-84,,animalia,arthropoda,malacostraca,euphausiacea,euphausiidae,NA,thysanoessa raschii,thysanoessa raschii
wbd-eup-85,,animalia,arthropoda,malacostraca,euphausiacea,euphausiidae,NA,thysanoessa spinifera,thysanoessa spinifera
wbd-eup-90,,animalia,arthropoda,malacostraca,euphausiacea,euphausiidae,NA,thysanopoda cornuta,thysanopoda cornuta
wbd-eup-97,,animalia,arthropoda,malacostraca,euphausiacea,euphausiidae,NA,thysanopoda orientalis,thysanopoda orientalis
w-oph-213420,,animalia,echinodermata,ophiuroidea,ophiurida,ophiuridae,NA,ophiura kinbergi,ophiuroglypha kinbergi
w-iso-256455,,animalia,arthropoda,malacostraca,isopoda,aegidae,NA,rocinela angustata,rocinela angustata
w-iso-256457,,animalia,arthropoda,malacostraca,isopoda,aegidae,NA,rocinela belliceps,rocinela belliceps
w-iso-256477,pink parasitic isopod,animalia,arthropoda,malacostraca,isopoda,aegidae,NA,rocinela propodialis,rocinela propodialis
pbd-274928,,animalia,arthropoda,malacostraca,decapoda,pandalidae,NA,plesionika bifurca,plesionika bifurca
