am_sid,comname,kingdom,phylum,class,order,family,iucn_sid,am_sciname,sciname
fis-139729,bigscale deepsea smelt,animalia,chordata,actinopterygii,osmeriformes,bathylagidae,190485,melanolagus bericoides,melanolagus bericoides
fis-22747,basking shark,animalia,chordata,elasmobranchii,lamniformes,cetorhinidae,4292,cetorhinus maximus,cetorhinus maximus
fis-22738,bullet tuna,animalia,chordata,actinopterygii,perciformes,scombridae,NA,auxis rochei,auxis rochei
fis-29263,long snouted lancetfish,animalia,chordata,actinopterygii,aulopiformes,alepisauridae,154820,alepisaurus ferox,alepisaurus ferox
fis-29507,chub mackerel,animalia,chordata,actinopterygii,perciformes,scombridae,170306,scomber japonicus,scomber japonicus
fis-22832,albacore,animalia,chordata,actinopterygii,perciformes,scombridae,21856,thunnus alalunga,thunnus alalunga
fis-22833,yellowfin tuna,animalia,chordata,actinopterygii,perciformes,scombridae,21857,thunnus albacares,thunnus albacares
fis-22836,bigeye tuna,animalia,chordata,actinopterygii,perciformes,scombridae,21859,thunnus obesus,thunnus obesus
fis-29576,swordfish,animalia,chordata,actinopterygii,perciformes,xiphiidae,23149,xiphias gladius,xiphias gladius
fis-22919,rainbow trout,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus mykiss,oncorhynchus mykiss
fis-22915,pink salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus gorbuscha,oncorhynchus gorbuscha
fis-22916,chum salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus keta,oncorhynchus keta
fis-22920,sockeye salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,201500,oncorhynchus nerka,oncorhynchus nerka
fis-22921,chinook salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus tshawytscha,oncorhynchus tshawytscha
fis-22917,coho salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus kisutch,oncorhynchus kisutch
fis-22949,arctic char,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,salvelinus alpinus,salvelinus alpinus
fis-22900,capelin,animalia,chordata,actinopterygii,osmeriformes,osmeridae,NA,mallotus villosus,mallotus villosus
fis-22922,rainbow smelt,animalia,chordata,actinopterygii,osmeriformes,osmeridae,NA,osmerus mordax,osmerus mordax
fis-22880,surf smelt,animalia,chordata,actinopterygii,osmeriformes,osmeridae,NA,hypomesus pretiosus,hypomesus pretiosus
fis-22963,eulachon,animalia,chordata,actinopterygii,osmeriformes,osmeridae,202415,thaleichthys pacificus,thaleichthys pacificus
fis-22864,pacific saury,animalia,chordata,actinopterygii,beloniformes,scomberesocidae,NA,cololabis saira,cololabis saira
fis-29393,pacific cod,animalia,chordata,actinopterygii,gadiformes,gadidae,NA,gadus macrocephalus,gadus macrocephalus
fis-22874,saffron cod,animalia,chordata,actinopterygii,gadiformes,gadidae,NA,eleginus gracilis,eleginus gracilis
fis-1918,alaska pollock,animalia,chordata,actinopterygii,gadiformes,gadidae,NA,gadus chalcogrammus,gadus chalcogrammus
fis-22908,north pacific hake,animalia,chordata,actinopterygii,gadiformes,merlucciidae,183411,merluccius productus,merluccius productus
fis-22897,longspine snipefish,animalia,chordata,actinopterygii,syngnathiformes,centriscidae,155030,macroramphosus scolopax,macroramphosus scolopax
fis-22970,pacific jack mackerel,animalia,chordata,actinopterygii,perciformes,carangidae,183729,trachurus symmetricus,trachurus symmetricus
fis-23014,japanese sandfish,animalia,chordata,actinopterygii,perciformes,trichodontidae,NA,arctoscopus japonicus,arctoscopus japonicus
fis-29268,pacific sandlance,animalia,chordata,actinopterygii,perciformes,ammodytidae,NA,ammodytes personatus,ammodytes personatus
fis-23215,pacific pompano,animalia,chordata,actinopterygii,perciformes,stromateidae,183337,peprilus simillimus,peprilus simillimus
fis-23264,widow rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes entomelas,sebastes entomelas
fis-23265,yellowtail rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes flavidus,sebastes flavidus
fis-23262,pacific ocean perch,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes alutus,sebastes alutus
fis-29457,lingcod,animalia,chordata,actinopterygii,scorpaeniformes,hexagrammidae,NA,ophiodon elongatus,ophiodon elongatus
fis-22996,sablefish,animalia,chordata,actinopterygii,scorpaeniformes,anoplopomatidae,NA,anoplopoma fimbria,anoplopoma fimbria
fis-29418,pacific halibut,animalia,chordata,actinopterygii,pleuronectiformes,pleuronectidae,NA,hippoglossus stenolepis,hippoglossus stenolepis
fis-23237,greenland halibut,animalia,chordata,actinopterygii,pleuronectiformes,pleuronectidae,NA,reinhardtius hippoglossoides,reinhardtius hippoglossoides
fis-23030,arrow-tooth flounder,animalia,chordata,actinopterygii,pleuronectiformes,pleuronectidae,NA,atheresthes stomias,atheresthes stomias
fis-29417,flathead sole,animalia,chordata,actinopterygii,pleuronectiformes,pleuronectidae,NA,hippoglossoides elassodon,hippoglossoides elassodon
fis-11256,yellowfin sole,animalia,chordata,actinopterygii,pleuronectiformes,pleuronectidae,NA,limanda aspera,limanda aspera
fis-29338,frilled shark,animalia,chordata,elasmobranchii,hexanchiformes,chlamydoselachidae,41794,chlamydoselachus anguineus,chlamydoselachus anguineus
fis-23157,bluntnose sixgill shark,animalia,chordata,elasmobranchii,hexanchiformes,hexanchidae,10030,hexanchus griseus,hexanchus griseus
fis-61628,velvet dogfish,animalia,chordata,elasmobranchii,squaliformes,somniosidae,60215,zameus squamulosus,zameus squamulosus
fis-23071,great white shark,animalia,chordata,elasmobranchii,lamniformes,lamnidae,3855,carcharodon carcharias,carcharodon carcharias
fis-58485,shortfin mako,animalia,chordata,elasmobranchii,lamniformes,lamnidae,161751,isurus oxyrinchus,isurus oxyrinchus
fis-23185,silvery lightfish,animalia,chordata,actinopterygii,stomiiformes,sternoptychidae,198760,maurolicus muelleri,maurolicus muelleri
fis-29426,salmon shark,animalia,chordata,elasmobranchii,lamniformes,lamnidae,39342,lamna ditropis,lamna ditropis
fis-22998,brown catshark,animalia,chordata,elasmobranchii,carcharhiniformes,scyliorhinidae,44209,apristurus brunneus,apristurus brunneus
fis-29454,flathead grey mullet,animalia,chordata,actinopterygii,mugiliformes,mugilidae,135567,mugil cephalus,mugil cephalus
fis-23222,blue shark,animalia,chordata,elasmobranchii,carcharhiniformes,carcharhinidae,39381,prionace glauca,prionace glauca
fis-23277,smooth hammerhead,animalia,chordata,elasmobranchii,carcharhiniformes,sphyrnidae,39388,sphyrna zygaena,sphyrna zygaena
fis-23580,opah,animalia,chordata,actinopterygii,lampriformes,lampridae,195038,lampris guttatus,lampris guttatus
fis-29731,alfonsino,animalia,chordata,actinopterygii,beryciformes,berycidae,198578,beryx decadactylus,beryx decadactylus
fis-54081,south american pilchard,animalia,chordata,actinopterygii,clupeiformes,clupeidae,183347,sardinops sagax,sardinops sagax
fis-153539,pacific herring,animalia,chordata,actinopterygii,clupeiformes,clupeidae,NA,clupea pallasii pallasii,clupea pallasii
fis-29948,californian anchovy,animalia,chordata,actinopterygii,clupeiformes,engraulidae,183856,engraulis mordax,engraulis mordax
fis-23484,electric lantern fish,animalia,chordata,actinopterygii,myctophiformes,myctophidae,198615,electrona risso,electrona risso
fis-30255,luvar,animalia,chordata,actinopterygii,perciformes,luvaridae,190116,luvarus imperialis,luvarus imperialis
fis-23637,slender argentine,animalia,chordata,actinopterygii,osmeriformes,microstomatidae,198628,microstoma microstoma,microstoma microstoma
fis-23639,ocean sunfish,animalia,chordata,actinopterygii,tetraodontiformes,molidae,190422,mola mola,mola mola
fis-30711,smalleye squaretail,animalia,chordata,actinopterygii,perciformes,tetragonuridae,198716,tetragonurus cuvieri,tetragonurus cuvieri
fis-29880,garrick,animalia,chordata,actinopterygii,stomiiformes,gonostomatidae,198757,cyclothone braueri,cyclothone braueri
fis-23454,veiled anglemouth,animalia,chordata,actinopterygii,stomiiformes,gonostomatidae,190133,cyclothone microdon,cyclothone microdon
fis-29801,sloane's viperfish,animalia,chordata,actinopterygii,stomiiformes,stomiidae,190324,chauliodus sloani,chauliodus sloani
fis-23605,cocco's lantern fish,animalia,chordata,actinopterygii,myctophiformes,myctophidae,190425,lobianchia gemellarii,lobianchia gemellarii
fis-23635,pacific tomcod,animalia,chordata,actinopterygii,gadiformes,gadidae,NA,microgadus proximus,microgadus proximus
fis-23905,blue antimora,animalia,chordata,actinopterygii,gadiformes,moridae,190385,antimora rostrata,antimora rostrata
fis-29650,finescale mora,animalia,chordata,actinopterygii,gadiformes,moridae,155287,antimora microlepis,antimora microlepis
fis-30085,slender codling,animalia,chordata,actinopterygii,gadiformes,moridae,NA,halargyreus johnsonii,halargyreus johnsonii
fis-64697,humpback anglerfish,animalia,chordata,actinopterygii,lophiiformes,melanocetidae,18127840,melanocetus johnsonii,melanocetus johnsonii
fis-23904,common fangtooth,animalia,chordata,actinopterygii,beryciformes,anoplogastridae,18123960,anoplogaster cornuta,anoplogaster cornuta
fis-30039,three-spined stickleback,animalia,chordata,actinopterygii,gasterosteiformes,gasterosteidae,8951,gasterosteus aculeatus,gasterosteus aculeatus
fis-24017,black hagfish,animalia,chordata,myxini,myxiniformes,myxinidae,196019,eptatretus deani,eptatretus deani
fis-24018,pacific hagfish,animalia,chordata,myxini,myxiniformes,myxinidae,196044,eptatretus stoutii,eptatretus stoutii
fis-48267,western river lamprey,animalia,chordata,cephalaspidomorphi,petromyzontiformes,petromyzontidae,202625,lampetra ayresii,lampetra ayresii
fis-63912,arctic lamprey,animalia,chordata,cephalaspidomorphi,petromyzontiformes,petromyzontidae,135719,lethenteron camtschaticum,lethenteron camtschaticum
fis-48258,pacific lamprey,animalia,chordata,cephalaspidomorphi,petromyzontiformes,petromyzontidae,NA,entosphenus tridentatus,entosphenus tridentatus
fis-23899,thresher,animalia,chordata,elasmobranchii,lamniformes,alopiidae,39339,alopias vulpinus,alopias vulpinus
fis-30664,pacific sleeper shark,animalia,chordata,elasmobranchii,squaliformes,somniosidae,161403,somniosus pacificus,somniosus pacificus
fis-24308,aleutian skate,animalia,chordata,elasmobranchii,rajiformes,arhynchobatidae,161661,bathyraja aleutica,bathyraja aleutica
fis-169067,big skate,animalia,chordata,elasmobranchii,rajiformes,rajidae,44183,beringraja binoculata,beringraja binoculata
fis-173420,california skate,animalia,chordata,elasmobranchii,rajiformes,rajidae,161466,beringraja inornata,beringraja inornata
fis-24310,sandpaper skate,animalia,chordata,elasmobranchii,rajiformes,arhynchobatidae,161402,bathyraja interrupta,bathyraja interrupta
fis-24311,alaska skate,animalia,chordata,elasmobranchii,rajiformes,arhynchobatidae,161471,bathyraja parmifera,bathyraja parmifera
fis-173421,longnose skate,animalia,chordata,elasmobranchii,rajiformes,rajidae,161595,beringraja rhina,beringraja rhina
fis-173422,starry skate,animalia,chordata,elasmobranchii,rajiformes,rajidae,161629,beringraja stellulata,beringraja stellulata
fis-24315,roughtail skate,animalia,chordata,elasmobranchii,rajiformes,arhynchobatidae,161375,bathyraja trachura,bathyraja trachura
fis-24068,spotted ratfish,animalia,chordata,holocephali,chimaeriformes,chimaeridae,60191,hydrolagus colliei,hydrolagus colliei
fis-29588,green sturgeon,animalia,chordata,actinopterygii,acipenseriformes,acipenseridae,233,acipenser medirostris,acipenser medirostris
fis-29594,white sturgeon,animalia,chordata,actinopterygii,acipenseriformes,acipenseridae,44561,acipenser transmontanus,acipenser transmontanus
fis-30349,slender snipe eel,animalia,chordata,actinopterygii,anguilliformes,nemichthyidae,190214,nemichthys scolopaceus,nemichthys scolopaceus
fis-30362,snubnosed spiny eel,animalia,chordata,actinopterygii,notacanthiformes,notacanthidae,195852,notacanthus chemnitzii,notacanthus chemnitzii
fis-156254,cutthroat trout,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus clarkii,oncorhynchus clarkii
fis-24332,dolly varden,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,salvelinus malma,salvelinus malma
fis-23897,whitebait smelt,animalia,chordata,actinopterygii,osmeriformes,osmeridae,NA,allosmerus elongatus,allosmerus elongatus
fis-24353,night smelt,animalia,chordata,actinopterygii,osmeriformes,osmeridae,NA,spirinchus starksi,spirinchus starksi
fis-24354,longfin smelt,animalia,chordata,actinopterygii,osmeriformes,osmeridae,184099,spirinchus thaleichthys,spirinchus thaleichthys
fis-29725,california smoothtongue,animalia,chordata,actinopterygii,osmeriformes,bathylagidae,NA,leuroglossus stilbius,leuroglossus stilbius
fis-30273,barreleye,animalia,chordata,actinopterygii,osmeriformes,opisthoproctidae,NA,macropinna microstoma,macropinna microstoma
fis-30707,longfin dragonfish,animalia,chordata,actinopterygii,stomiiformes,stomiidae,141375385,tactostoma macropus,tactostoma macropus
fis-29800,pacific viperfish,animalia,chordata,actinopterygii,stomiiformes,stomiidae,137473074,chauliodus macouni,chauliodus macouni
fis-47643,duckbill barracudina,animalia,chordata,actinopterygii,aulopiformes,paralepididae,13485635,magnisudis atlantica,magnisudis atlantica
fis-23929,northern pearleye,animalia,chordata,actinopterygii,aulopiformes,scopelarchidae,123335263,benthalbella dentata,benthalbella dentata
fis-23950,dogtooth lampfish,animalia,chordata,actinopterygii,myctophiformes,myctophidae,129299900,ceratoscopelus townsendi,ceratoscopelus townsendi
fis-29911,california headlightfish,animalia,chordata,actinopterygii,myctophiformes,myctophidae,130286297,diaphus theta,diaphus theta
fis-149472,pinpoint lampfish,animalia,chordata,actinopterygii,myctophiformes,myctophidae,129394341,nannobrachium regale,nannobrachium regale
fis-24154,patchwork lampfish,animalia,chordata,actinopterygii,myctophiformes,myctophidae,15601872,notoscopelus resplendens,notoscopelus resplendens
fis-24300,california flashlightfish,animalia,chordata,actinopterygii,myctophiformes,myctophidae,130350511,protomyctophum crockeri,protomyctophum crockeri
fis-24355,northern lampfish,animalia,chordata,actinopterygii,myctophiformes,myctophidae,129511170,stenobrachius leucopsarus,stenobrachius leucopsarus
fis-24371,blue lanternfish,animalia,chordata,actinopterygii,myctophiformes,myctophidae,130353354,tarletonbeania crenularis,tarletonbeania crenularis
fis-30514,plainfin midshipman,animalia,chordata,actinopterygii,batrachoidiformes,batrachoididae,183724,porichthys notatus,porichthys notatus
fis-24636,northern clingfish,animalia,chordata,actinopterygii,gobiesociformes,gobiesocidae,NA,gobiesox maeandricus,gobiesox maeandricus
fis-24935,kelp clingfish,animalia,chordata,actinopterygii,gobiesociformes,gobiesocidae,NA,rimicola muscarum,rimicola muscarum
fis-29877,triplewart seadevil,animalia,chordata,actinopterygii,lophiiformes,ceratiidae,190067,cryptopsaras couesii,cryptopsaras couesii
fis-57562,california grenadier,animalia,chordata,actinopterygii,gadiformes,macrouridae,NA,nezumia stelgidolepis,nezumia stelgidolepis
fis-24471,red brotula,animalia,chordata,actinopterygii,ophidiiformes,bythitidae,135440575,brosmophycis marginata,brosmophycis marginata
fis-24432,bigfin eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycodes cortezianus,lycodes cortezianus
fis-24469,alaska eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,bothrocara pusillum,bothrocara pusillum
fis-24651,fish doctor,animalia,chordata,actinopterygii,perciformes,zoarcidae,154650,gymnelus viridis,gymnelus viridis
fis-30256,blackmouth eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycodapus fierasfer,lycodapus fierasfer
fis-30257,pallid eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycodapus mandibularis,lycodapus mandibularis
fis-30258,smallhead eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycodapus parviceps,lycodapus parviceps
fis-30259,shortfin eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycodes brevipes,lycodes brevipes
fis-30260,black eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycodes diapterus,lycodes diapterus
fis-30263,wattled eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycodes palearis,lycodes palearis
fis-14540,blackbelly eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lycodes pacificus,lycodes pacificus
fis-30269,bearded eelpout,animalia,chordata,actinopterygii,perciformes,zoarcidae,NA,lyconema barbatum,lyconema barbatum
fis-24450,topsmelt silverside,animalia,chordata,actinopterygii,atheriniformes,atherinopsidae,183957,atherinops affinis,atherinops affinis
fis-30736,king-of-the-salmon,animalia,chordata,actinopterygii,lampriformes,trachipteridae,123375849,trachipterus altivelis,trachipterus altivelis
fis-30737,tapertail ribbonfish,animalia,chordata,actinopterygii,lampriformes,trachipteridae,123376181,trachipterus fukuzakii,trachipterus fukuzakii
fis-30575,king of herrings,animalia,chordata,actinopterygii,lampriformes,regalecidae,190378,regalecus glesne,regalecus glesne
fis-29704,tube-snout,animalia,chordata,actinopterygii,gasterosteiformes,aulorhynchidae,65134524,aulorhynchus flavidus,aulorhynchus flavidus
fis-24923,ninespine stickleback,animalia,chordata,actinopterygii,gasterosteiformes,gasterosteidae,18878,pungitius pungitius,pungitius pungitius
fis-30693,bay pipefish,animalia,chordata,actinopterygii,syngnathiformes,syngnathidae,65374916,syngnathus leptorhynchus,syngnathus leptorhynchus
fis-24930,spearfish remora,animalia,chordata,actinopterygii,perciformes,echeneidae,155068,remora brachyptera,remora brachyptera
fis-29736,pacific pomfret,animalia,chordata,actinopterygii,perciformes,bramidae,NA,brama japonica,brama japonica
fis-30708,rough pomfret,animalia,chordata,actinopterygii,perciformes,bramidae,18156550,taractes asper,taractes asper
fis-24451,white weakfish,animalia,chordata,actinopterygii,perciformes,sciaenidae,183848,atractoscion nobilis,atractoscion nobilis
fis-30655,queen croaker,animalia,chordata,actinopterygii,perciformes,sciaenidae,183750,seriphus politus,seriphus politus
fis-24418,redtail surfperch,animalia,chordata,actinopterygii,perciformes,embiotocidae,NA,amphistichus rhodoterus,amphistichus rhodoterus
fis-29735,kelp perch,animalia,chordata,actinopterygii,perciformes,embiotocidae,141481252,brachyistius frenatus,brachyistius frenatus
fis-29881,shiner perch,animalia,chordata,actinopterygii,perciformes,embiotocidae,192929,cymatogaster aggregata,cymatogaster aggregata
fis-29938,striped seaperch,animalia,chordata,actinopterygii,perciformes,embiotocidae,141481460,embiotoca lateralis,embiotoca lateralis
fis-30134,walleye surfperch,animalia,chordata,actinopterygii,perciformes,embiotocidae,NA,hyperprosopon argenteum,hyperprosopon argenteum
fis-24686,silver surfperch,animalia,chordata,actinopterygii,perciformes,embiotocidae,NA,hyperprosopon ellipticum,hyperprosopon ellipticum
fis-30480,white seaperch,animalia,chordata,actinopterygii,perciformes,embiotocidae,NA,phanerodon furcatus,phanerodon furcatus
fis-24933,pile perch,animalia,chordata,actinopterygii,perciformes,embiotocidae,155179,rhacochilus vacca,rhacochilus vacca
fis-30668,pacific barracuda,animalia,chordata,actinopterygii,perciformes,sphyraenidae,178105,sphyraena argentea,sphyraena argentea
fis-25031,pacific sandfish,animalia,chordata,actinopterygii,perciformes,trichodontidae,NA,trichodon trichodon,trichodon trichodon
fis-29727,smallmouth ronquil,animalia,chordata,actinopterygii,perciformes,bathymasteridae,NA,bathymaster leurolepis,bathymaster leurolepis
fis-29728,searcher,animalia,chordata,actinopterygii,perciformes,bathymasteridae,NA,bathymaster signatus,bathymaster signatus
fis-24938,northern ronquil,animalia,chordata,actinopterygii,perciformes,bathymasteridae,NA,ronquilus jordani,ronquilus jordani
fis-30042,striped kelpfish,animalia,chordata,actinopterygii,perciformes,clinidae,178917,gibbonsia metzi,gibbonsia metzi
fis-30043,crevice kelpfish,animalia,chordata,actinopterygii,perciformes,clinidae,178902,gibbonsia montereyensis,gibbonsia montereyensis
fis-24407,stone cockscomb,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,alectrias alectrolophus,alectrias alectrolophus
fis-154605,y-prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,lumpenopsis hypochroma,lumpenopsis hypochroma
fis-29639,slender cockscomb,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,anoplarchus insignis,anoplarchus insignis
fis-29640,high cockscomb,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,anoplarchus purpurescens,anoplarchus purpurescens
fis-24472,nutcracker prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,bryozoichthys lysimus,bryozoichthys lysimus
fis-29743,pearly prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,bryozoichthys marjorius,bryozoichthys marjorius
fis-24495,decorated warbonnet,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,chirolophis decoratus,chirolophis decoratus
fis-24496,mosshead warbonnet,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,chirolophis nugator,chirolophis nugator
fis-24610,fourline snakeblenny,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,eumesogrammus praecisus,eumesogrammus praecisus
fis-24750,longsnout prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,lumpenella longirostris,lumpenella longirostris
fis-24751,slender eelblenny,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,lumpenus fabricii,lumpenus fabricii
fis-49057,daubed shanny,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,leptoclinus maculatus,leptoclinus maculatus
fis-24753,stout eelblenny,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,anisarchus medius,anisarchus medius
fis-30250,snake prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,lumpenus sagitta,lumpenus sagitta
fis-24897,ribbon prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,phytichthys chirus,phytichthys chirus
fis-30496,bluebarred prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,plectobranchus evides,plectobranchus evides
fis-30516,whitebarred prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,poroclinus rothrocki,poroclinus rothrocki
fis-144084,arctic shanny,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,stichaeus punctatus punctatus,stichaeus punctatus
fis-25045,black prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,xiphister atropurpureus,xiphister atropurpureus
fis-25046,rock prickleback,animalia,chordata,actinopterygii,perciformes,stichaeidae,NA,xiphister mucosus,xiphister mucosus
fis-29659,penpoint gunnel,animalia,chordata,actinopterygii,perciformes,pholidae,NA,apodichthys flavidus,apodichthys flavidus
fis-30485,longfin gunnel,animalia,chordata,actinopterygii,perciformes,pholidae,NA,pholis clemensi,pholis clemensi
fis-24891,stippled gunnel,animalia,chordata,actinopterygii,perciformes,pholidae,NA,rhodymenichthys dolichogaster,rhodymenichthys dolichogaster
fis-24894,crescent gunnel,animalia,chordata,actinopterygii,perciformes,pholidae,NA,pholis laeta,pholis laeta
fis-24895,saddleback gunnel,animalia,chordata,actinopterygii,perciformes,pholidae,154866,pholis ornata,pholis ornata
fis-30487,red gunnel,animalia,chordata,actinopterygii,perciformes,pholidae,NA,pholis schultzi,pholis schultzi
fis-10690,rockweed gunnel,animalia,chordata,actinopterygii,perciformes,pholidae,NA,apodichthys fucorum,apodichthys fucorum
fis-29628,wolf-eel,animalia,chordata,actinopterygii,perciformes,anarhichadidae,NA,anarrhichthys ocellatus,anarrhichthys ocellatus
fis-30556,quillfish,animalia,chordata,actinopterygii,perciformes,ptilichthyidae,NA,ptilichthys goodei,ptilichthys goodei
fis-24758,dwarf wrymouth,animalia,chordata,actinopterygii,perciformes,cryptacanthodidae,NA,cryptacanthodes aleutensis,cryptacanthodes aleutensis
fis-30630,graveldiver,animalia,chordata,actinopterygii,perciformes,scytalinidae,NA,scytalina cerdale,scytalina cerdale
fis-30757,prowfish,animalia,chordata,actinopterygii,perciformes,zaproridae,NA,zaprora silenus,zaprora silenus
fis-29620,pacific sand lance,animalia,chordata,actinopterygii,perciformes,ammodytidae,NA,ammodytes hexapterus,ammodytes hexapterus
fis-24510,arrow goby,animalia,chordata,actinopterygii,perciformes,gobiidae,NA,clevelandia ios,clevelandia ios
fis-57210,blackeye goby,animalia,chordata,actinopterygii,perciformes,gobiidae,NA,rhinogobiops nicholsii,rhinogobiops nicholsii
fis-24728,bay goby,animalia,chordata,actinopterygii,perciformes,gobiidae,NA,lepidogobius lepidus,lepidogobius lepidus
fis-30341,black snake mackerel,animalia,chordata,actinopterygii,perciformes,gempylidae,16509242,nealotus tripes,nealotus tripes
fis-29879,longfin cigarfish,animalia,chordata,actinopterygii,perciformes,nomeidae,NA,cubiceps paradoxus,cubiceps paradoxus
fis-30146,medusafish,animalia,chordata,actinopterygii,perciformes,centrolophidae,NA,icichthys lockingtoni,icichthys lockingtoni
fis-30710,bigeye squaretail,animalia,chordata,actinopterygii,perciformes,tetragonuridae,190296,tetragonurus atlanticus,tetragonurus atlanticus
fis-30147,ragfish,animalia,chordata,actinopterygii,perciformes,icosteidae,NA,icosteus aenigmaticus,icosteus aenigmaticus
fis-24947,rougheye rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes aleutianus,sebastes aleutianus
fis-30631,brown rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes auriculatus,sebastes auriculatus
fis-24949,aurora rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes aurora,sebastes aurora
fis-24950,redbanded rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes babcocki,sebastes babcocki
fis-30632,shortraker rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes borealis,sebastes borealis
fis-24951,silvergray rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes brevispinis,sebastes brevispinis
fis-30633,copper rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes caurinus,sebastes caurinus
fis-24957,darkblotched rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes crameri,sebastes crameri
fis-24959,splitnose rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes diploproa,sebastes diploproa
fis-30634,greenstriped rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes elongatus,sebastes elongatus
fis-24960,puget sound rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes emphaeus,sebastes emphaeus
fis-24963,chilipepper rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes goodei,sebastes goodei
fis-30637,rosethorn rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes helvomaculatus,sebastes helvomaculatus
fis-24965,shortbelly rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes jordani,sebastes jordani
fis-24968,quillback rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes maliger,sebastes maliger
fis-30639,black rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes melanops,sebastes melanops
fis-24970,vermilion rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes miniatus,sebastes miniatus
fis-24971,blue rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes mystinus,sebastes mystinus
fis-30641,china rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes nebulosus,sebastes nebulosus
fis-30642,tiger rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes nigrocinctus,sebastes nigrocinctus
fis-30643,bocaccio rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,20085,sebastes paucispinis,sebastes paucispinis
