cell_id,n_fe,fv_wt_mean_impact,fv_wt_sd_impact
100591,116,0,0
120805,113,0,0
141005,116,0,0
149488,116,0.0024476555141125845,0.019657507529579104
141951,47,0.003545019591283829,0.02620555164215603
144065,48,0.0035958353590083625,0.0264633873366801
146159,50,0.001046821773862709,0.005546415509842937
148277,53,0.001180597995649002,0.006115954064414774
149465,47,0.003548605732162474,0.026735890758881026
138754,47,0.003545019591283829,0.02620555164215603
148312,50,0.0032867898652367126,0.02522550166591784
139809,48,0.0033171466658541717,0.025307412676085828
148337,47,0.003862198088558924,0.02732395913403089
139847,51,0.0037585980760660017,0.02674349284939959
148362,51,0.0037438622373495325,0.026730850248235235
140861,50,0.003439901243723177,0.025887835422546652
148387,47,0.0035855503341313054,0.0267987923231561
140886,47,0.003545019591283829,0.02620555164215603
149339,53,0.0010920131566540974,0.00579204614182817
140920,51,0.0038470798996385713,0.02682300371294545
149364,50,0.003330567833424426,0.025414100766554697
137666,139,0.006990660380648508,0.03042426447320042
139827,133,0.008034609786581647,0.034217961668538355
146279,128,0.004924173130330083,0.02654897818613052
148411,128,0.004924173130330083,0.02654897818613052
118683,116,0,0
139944,116,0,0
148473,116,0,0
112298,116,0,0
114429,116,0,0
117616,116,0,0
141940,48,0.0034100264686229152,0.02569092818498036
144054,50,0.003439901243723177,0.025887835422546652
145238,37,0.005601304520573274,0.03068030735491528
147335,47,0.0035676509085985986,0.02675635289437445
149454,47,0.0035855503341313054,0.0267987923231561
142007,47,0.0035676509085985986,0.02675635289437445
142032,37,0.006194636216394373,0.031723986148609856
142993,50,0.003439901243723177,0.025887835422546652
143018,47,0.003545019591283829,0.02620555164215603
143043,51,0.0037585980760660017,0.02674349284939959
143068,47,0.0035748750829089136,0.026810306805062575
110175,116,0,0
138884,116,0,0
148448,116,0,0
128253,116,0,0
130377,116,0,0
132501,116,0,0
133573,116,0,0
135689,116,0,0
136760,116,0,0
137829,112,0,0
141929,50,0.003439901243723177,0.025887835422546652
144043,50,0.003330567833424426,0.025414100766554697
145221,47,0.003567776429207057,0.026754822858591227
147324,47,0.0035664682482476544,0.02677811183503406
149443,51,0.0038323440609221025,0.02680934256985283
144110,51,0.0037585980760660017,0.02674349284939959
144135,47,0.0035664682482476544,0.02677811183503406
144160,37,0.00641306505020273,0.0321506589677257
145099,50,0.003554856336726938,0.02634863486063372
145124,50,0.003439901243723177,0.025887835422546652
145149,47,0.003931096256791709,0.027372031280952315
109105,116,0,0
148432,116,0.0021692896329162624,0.01897679260648676
127191,112,0,0
144192,116,0,0
145229,116,0.0024476555141125845,0.019657507529579104
145266,113,0,0
146308,116,4.2568559281727165e-4,0.003321053126388307
146333,115,0,0
147377,116,4.256582749133624e-4,0.003320946562215954
148420,116,0.002550123810864185,0.01993767788774944
141918,50,0.0032867898652367126,0.02522550166591784
144032,50,0.003554856336726938,0.02634863486063372
145207,47,0.0035676509085985986,0.02675635289437445
147313,51,0.0038323440609221025,0.02680934256985283
149432,51,0.0037880657165525805,0.0267692992799489
146193,48,0.0035958353590083625,0.0264633873366801
146218,47,0.004017038987674119,0.027436323875321057
146243,51,0.0038470798996385713,0.02682300371294545
146268,47,0.003576040754571419,0.02678844181656638
147219,53,0.0010765844212284538,0.005732520016555597
147244,50,0.0032867898652367126,0.02522550166591784
108038,113,0,0
126130,112,0,0
144181,116,4.2568559281727165e-4,0.003321053126388307
140945,47,0.0035676509085985986,0.02675635289437445
143104,37,0.005601304520573274,0.03068030735491528
145196,47,0.0035664682482476544,0.02677811183503406
147302,51,0.0037880657165525805,0.0267692992799489
149421,51,0.0037438622373495325,0.026730850248235235
138743,50,0.0033086457864044743,0.0253197175119911
148300,50,0.003330567833424426,0.025414100766554697
139797,50,0.0029147391779060917,0.02363933884115144
148325,48,0.0035958353590083625,0.0264633873366801
139822,47,0.003545019591283829,0.02620555164215603
148350,47,0.004017038987674119,0.027436323875321057
140849,50,0.003330567833424426,0.025414100766554697
148375,51,0.0038323440609221025,0.02680934256985283
140874,48,0.0033171466658541717,0.025307412676085828
148400,47,0.0035676509085985986,0.02675635289437445
140908,51,0.0037585980760660017,0.02674349284939959
149352,50,0.0011288895334959589,0.005868615304225404
140933,51,0.003906094072573276,0.02687941446899596
105922,116,0,0
138763,133,0.008034609786581647,0.034217961668538355
140891,133,0.008034609786581647,0.034217961668538355
147346,128,0.004924173130330083,0.02654897818613052
149476,128,0.004924173130330083,0.02654897818613052
125067,112,0,0
143134,116,0,0
113364,116,0,0
115495,116,0,0
143093,47,0.003567776429207057,0.026754822858591227
145185,51,0.003891350353217335,0.026865076918239496
147291,51,0.0037438622373495325,0.026730850248235235
149410,47,0.003931096256791709,0.027372031280952315
138732,50,0.0029147391779060917,0.02363933884115144
141996,51,0.003891350353217335,0.026865076918239496
142020,47,0.003577343223734426,0.026766205346381102
142981,50,0.0032867898652367126,0.02522550166591784
143006,48,0.003715126918179082,0.026788263618299866
143031,47,0.003931096256791709,0.027372031280952315
143056,51,0.003891350353217335,0.026865076918239496
143081,47,0.0035771381774765748,0.02676669364726259
104858,116,0,0
124004,112,0,0
143121,116,0,0
129316,116,0,0
131439,116,0,0
133561,112,0,0
134631,116,0,0
136734,116,0.0011395424772112236,0.013367510921124022
137815,116,0,0
145174,51,0.0037585980760660017,0.02674349284939959
147280,47,0.003931096256791709,0.027372031280952315
149399,47,0.003862198088558924,0.02732395913403089
137673,50,0.0033086457864044743,0.0253197175119911
141985,51,0.0038470798996385713,0.02682300371294545
144099,51,0.003566839470313012,0.02659229977702254
144123,51,0.003891350353217335,0.026865076918239496
144148,47,0.0035771381774765748,0.02676669364726259
144173,37,0.005601304520573274,0.03068030735491528
145112,50,0.0032867898652367126,0.02522550166591784
145137,47,0.003862198088558924,0.02732395913403089
145162,51,0.0037438622373495325,0.026730850248235235
103785,113,0,0
122938,112,0,0
142073,113,0,0
149517,116,0,0
144207,113,0,0
145254,116,0,0
145279,112,0,0
146321,116,0,0
147361,116,0.0024476555141125845,0.019657507529579104
147390,116,0,0
147269,47,0.003862198088558924,0.02732395913403089
149388,48,0.0035958353590083625,0.0264633873366801
141974,51,0.0037585980760660017,0.02674349284939959
144088,47,0.0034967937924297683,0.0260099874790569
