cell_id,n_fe,fv_wt_mean_impact,fv_wt_sd_impact
500150,47,2.456456930311093e-8,1.4920780503093457e-5
530069,50,2.98207257939948e-8,1.866213071586081e-5
520436,49,2.5907421752667535e-8,1.640754587700233e-5
510859,49,2.5452796456345744e-8,1.6119616656289755e-5
543803,50,2.531808967099179e-8,1.6075009468230664e-5
501336,50,2.9122137461463435e-8,1.822492413598121e-5
532211,50,2.98207257939948e-8,1.866213071586081e-5
531029,47,2.6300680855549446e-8,1.5974623564334716e-5
531034,47,2.580438541442383e-8,1.5673178552077285e-5
531039,47,2.6051898897887447e-8,1.582351560015309e-5
531044,49,2.3864502253629066e-8,1.5113709071260879e-5
531049,49,2.4545858719301836e-8,1.5545227316899232e-5
531054,49,2.4545858719301836e-8,1.5545227316899232e-5
531059,49,2.5452796456345744e-8,1.6119616656289755e-5
531064,49,2.6134153251475863e-8,1.655114292833123e-5
531069,49,2.6134153251475863e-8,1.655114292833123e-5
531074,49,2.636088475028419e-8,1.669474030379742e-5
531079,49,2.636088475028419e-8,1.669474030379742e-5
531084,48,2.8182554748931946e-8,1.7288580264452622e-5
531089,49,2.8115127159604246e-8,1.7617717782754858e-5
531094,49,2.8115127159604246e-8,1.7617717782754858e-5
531099,49,2.880943924415873e-8,1.8052813468882172e-5
531104,49,2.9506116188333064e-8,1.848939346216821e-5
531109,49,2.8115127159604246e-8,1.7617717782754858e-5
531114,49,2.9042457180697614e-8,1.8198836380869508e-5
531119,50,2.9122137461463435e-8,1.822492413598121e-5
531124,50,2.98207257939948e-8,1.866213071586081e-5
531129,50,2.98207257939948e-8,1.866213071586081e-5
531134,50,2.98207257939948e-8,1.866213071586081e-5
531139,50,2.95870685542974e-8,1.851589772643612e-5
531144,50,2.98207257939948e-8,1.866213071586081e-5
531149,50,2.98207257939948e-8,1.866213071586081e-5
532091,47,2.6300680855549446e-8,1.5974623564334716e-5
532096,47,2.679570782247667e-8,1.6275299848443003e-5
532101,47,2.679570782247667e-8,1.6275299848443003e-5
532106,47,2.6051898897887447e-8,1.582351560015309e-5
532111,49,2.3864502253629066e-8,1.5113709071260879e-5
532116,49,2.4545858719301836e-8,1.5545227316899232e-5
532121,49,2.5452796456345744e-8,1.6119616656289755e-5
532126,49,2.5452796456345744e-8,1.6119616656289755e-5
532131,49,2.6134153251475863e-8,1.655114292833123e-5
532136,49,2.636088475028419e-8,1.669474030379742e-5
532141,49,2.636088475028419e-8,1.669474030379742e-5
532146,48,2.8182554748931946e-8,1.7288580264452622e-5
532151,48,2.8182554748931946e-8,1.7288580264452622e-5
532156,49,2.8115127159604246e-8,1.7617717782754858e-5
532161,49,2.880943924415873e-8,1.8052813468882172e-5
532166,49,2.880943924415873e-8,1.8052813468882172e-5
532171,49,2.9506116188333064e-8,1.848939346216821e-5
532176,49,2.9506116188333064e-8,1.848939346216821e-5
532181,50,2.9122137461463435e-8,1.822492413598121e-5
532186,50,2.98207257939948e-8,1.866213071586081e-5
543141,52,0.0036657342888852034,0.017237527328645072
527090,50,0.003524811548636952,0.016556903547917896
509084,70,0.0031182780949404066,0.011745309343519413
539682,50,3.122086597576274e-8,1.974436123307989e-5
522845,50,0.003392974476288494,0.015801569015170096
504892,63,0.010392328636300581,0.030393541474615798
535649,50,0.004036203364583126,0.017045265132900302
518599,50,0.0034302897744285703,0.015978249711470705
501535,49,7.816146001664292e-7,1.1847017399940632e-4
547511,66,0.006327616613797676,0.019012581477042767
531543,66,0.006188907970461006,0.01867208297366686
514350,51,0.003439768214523114,0.015221592624515019
544125,50,0.0036006034925255234,0.01691295667895391
528109,49,3.914730273683545e-9,6.839311060820814e-6
510104,51,0.0034022432264402165,0.015050356661123537
540985,51,0.0038530595330648655,0.016748866196782463
525114,63,0.010626972623597833,0.030824143304110707
508107,61,0.010923305437291649,0.03131802708726999
540990,51,0.003928459843347426,0.01709293774706255
525119,61,0.011073339296811155,0.031584309766410384
508112,61,0.010923305437291649,0.03131802708726999
540995,51,0.003928459843347426,0.01709293774706255
525124,61,0.011067902903142813,0.031577287830027244
508117,61,0.01072108044570126,0.030912717848889895
541000,51,0.0040065097810023835,0.017442828612378572
525129,61,0.011250217752202236,0.031959227661468095
