cell_id,n_fe,fv_wt_mean_impact,fv_wt_sd_impact
650265,51,0.002365477671229418,0.023429966737344578
692915,51,1.9523200670726702e-8,1.7008313015335227e-5
653495,51,1.654280761577096e-8,1.475513008979135e-5
697128,51,1.885884182858874e-8,1.6517733155285466e-5
657727,51,1.6578923796883148e-8,1.4863110950010504e-5
660974,51,1.7508624088896122e-8,1.5616720052911835e-5
665227,51,1.7723043123847063e-8,1.5807984430549556e-5
670499,50,1.7948080819942903e-8,1.563426211918169e-5
674778,51,1.8734586585634436e-8,1.6321257286959257e-5
677996,51,1.884667334602791e-8,1.641890930994809e-5
681182,51,1.8508692418450477e-8,1.612445427173753e-5
684375,51,1.8508692418450477e-8,1.612445427173753e-5
687577,51,1.884667334602791e-8,1.641890930994809e-5
671559,50,1.7722176446492846e-8,1.543746645839278e-5
671569,50,1.7948080819942903e-8,1.563426211918169e-5
671579,50,1.7948080819942903e-8,1.563426211918169e-5
671589,51,1.817014002310163e-8,1.5829501672572543e-5
671599,51,1.7944823403535e-8,1.5633202223371848e-5
671609,51,1.7508624088896122e-8,1.5616720052911835e-5
672625,50,1.7722176446492846e-8,1.543746645839278e-5
672635,50,1.83993118510842e-8,1.6027351249328296e-5
672645,51,1.8525209340600914e-8,1.6225505648222828e-5
672655,51,1.817014002310163e-8,1.5829501672572543e-5
672665,51,1.7944823403535e-8,1.5633202223371848e-5
672675,51,1.8396034108667156e-8,1.6026304408849794e-5
673692,50,1.7948080819942903e-8,1.563426211918169e-5
673702,50,1.83993118510842e-8,1.6027351249328296e-5
673712,51,1.8525209340600914e-8,1.6225505648222828e-5
698463,50,3.495130294796033e-5,9.405502688370627e-4
691031,53,0.004957783009738177,0.02343713894358113
683599,53,0.005118567674674134,0.024249204738289117
676167,57,0.017270967969964062,0.04969830487264678
669575,49,2.1630543631382664e-8,1.8385456965657016e-5
662381,53,0.005535944471945785,0.02528487287396487
655816,51,0.004495800388644168,0.02088543885925137
699391,58,0.009107766679795634,0.033906239804026884
691959,58,0.009218992268077535,0.034269730053317106
684527,48,2.3997678883066848e-8,1.9965032689612833e-5
677091,51,0.004728341696064899,0.021965720138788152
669834,53,0.005572607682318834,0.025454000228526206
663276,51,0.004612071042353861,0.02142557949888025
656111,158,0.0166597330598296,0.05581908737221839
699650,53,0.0060678468388282465,0.02653931996896262
692218,53,0.0059257830738013014,0.026206238054648483
684822,65,0.007080179512116559,0.02118622684547916
677385,65,0.006125109977297512,0.018566207039193497
670727,51,0.004612071042353861,0.02142557949888025
664170,50,1.7982985947691264e-8,1.5836946742461637e-5
656970,51,0.004808477046652861,0.0223659975200931
650393,50,1.856449508726244e-8,1.652048694450662e-5
693146,51,0.005085231475702146,0.02389016825459837
