cell_id,n_fe,fv_wt_mean_impact,fv_wt_sd_impact
250042,47,1.4655974599069424e-8,9.08872044026792e-6
299060,49,1.6202403611394242e-8,1.044960560716599e-5
294824,49,1.5929355104013942e-8,1.0222964322633764e-5
290513,49,1.4810328521946975e-8,9.457703646364888e-6
259624,47,1.4655974599069424e-8,9.08872044026792e-6
299177,60,0.0033096548591676363,0.017332829348196806
298126,60,0.0034824019966642333,0.01799239635563751
297079,54,0.005234011687069033,0.02111271322933928
296032,54,0.005396731262628323,0.021553227953708908
294983,53,0.005662185520413959,0.02229651790052312
293925,53,0.005770668666825657,0.022600966617806726
292867,53,0.005824781390150484,0.022753524691251165
291816,53,0.006215579769292462,0.023750760100994053
290771,53,0.006049790519186313,0.023280487754018784
289726,51,0.0019333910078884711,0.009511292984220461
288681,51,0.002129797299678709,0.009814319268160362
287636,58,0.006521732011170801,0.023037043312982744
286590,58,0.006115285756140714,0.02242350462355422
285543,152,0.00601642185937903,0.028713048333221587
284493,149,0.003834816530347135,0.01877205378307813
284244,55,0.00393239318551088,0.017906501655221712
283191,55,0.003983748798816358,0.01803023888261203
282136,55,0.004191811000701428,0.01854261990933962
281081,60,0.003223280070946909,0.017008215521250328
280025,60,0.0033096548591676363,0.017332829348196806
278966,60,0.003136905282730498,0.016687317213189792
277908,60,0.003251973254445866,0.0171156028512155
276850,60,0.00333834560407953,0.01744140570216787
275787,53,0.005049008412061905,0.020503812843738412
274720,60,0.00333834560407953,0.01744140570216787
273652,60,0.003251973254445866,0.0171156028512155
272573,60,0.0030215932839730898,0.016264838264336154
271494,55,0.0039860263398928415,0.018035326610314054
270415,55,0.0037264844927338697,0.017420670481920218
268506,152,0.009463446842671528,0.04014113176808496
267427,61,0.0022933770172619897,0.010464786262539634
266348,60,0.002789645076447369,0.011337506406211293
265269,55,0.0067807327860364185,0.023628973159044258
264190,55,0.0064815743638994205,0.022864400792489702
263111,49,0.0017189326473329586,0.008302826831998462
262032,49,0.0015946003979992467,0.007742935738544851
260953,53,0.005440056422965652,0.02156026932437765
259874,53,0.005228513813530653,0.021107295441051006
258795,54,0.005173626849828774,0.020955499516042343
257715,54,0.0047401504659477555,0.01982303591217899
256635,61,0.003013351208379479,0.016327535876514546
255555,60,0.003136905282730498,0.016687317213189792
254475,55,0.0037802446973721838,0.0175459297996799
253396,55,0.0036772299810237745,0.017307783387387112
252317,55,0.0035721730257598713,0.017069852348454463
250406,61,0.002156135190821884,0.010002040194162638
299277,53,0.006325930761336399,0.02406629592257539
298226,54,0.006086846899477369,0.023620950233385493
297179,51,0.002044494297072635,0.009953927468259682
296132,51,0.002129797299678709,0.009814319268160362
295083,58,0.006709265510056127,0.023332050451441773
294025,58,0.006703441332466233,0.023336848053810744
292967,58,0.006797407871018979,0.023487575256385302
291916,61,0.002523002159422357,0.010572053373910595
290871,151,0.006033880351449079,0.028753471373203682
290622,55,0.004035104411125222,0.01815509458562766
289577,55,0.004189415878109435,0.01853740148937382
288532,60,0.003223280070946909,0.017008215521250328
287487,60,0.003424720392120124,0.01777065430808732
286441,54,0.005179857767214944,0.0209678197594494
285394,54,0.0056611951874993545,0.022289117094327574
284344,53,0.005608072797320574,0.02214588969172491
283291,53,0.005716298243507343,0.02244780328636553
282236,53,0.005939176447031629,0.022969526637970934
281181,53,0.006049790519186313,0.023280487754018784
280125,53,0.005828566252691511,0.022661068898425146
279066,53,0.005828566252691511,0.022661068898425146
278008,53,0.0059943522615940655,0.023124084593560218
276950,53,0.006252234036161044,0.023762950524979336
276951,53,0.006252234036161044,0.023762950524979336
276952,50,0.0018726236951838197,0.009020009413722933
276953,50,0.0018726236951838197,0.009020009413722933
276954,50,0.0019085924086629897,0.009193390863019188
276955,50,0.0019085924086629897,0.009193390863019188
276956,50,0.001950514202763241,0.00929379559700902
276957,50,0.001950514202763241,0.00929379559700902
276958,50,0.001949176289958989,0.009290608001717967
276959,50,0.001949176289958989,0.009290608001717967
276960,50,0.001949176289958989,0.009290608001717967
276961,50,0.001949176289958989,0.009290608001717967
276962,50,0.001949176289958989,0.009290608001717967
276963,50,0.002311546307439678,0.009833368794663568
276964,50,0.0021102919296393245,0.009502998371651732
276965,50,0.0021102919296393245,0.009502998371651732
276966,50,0.0021102919296393245,0.009502998371651732
276967,50,0.0021102919296393245,0.009502998371651732
276968,50,0.0021102919296393245,0.009502998371651732
276969,50,0.0021102919296393245,0.009502998371651732
276970,50,0.0021484809776287157,0.009678597454625022
276971,50,0.0021484809776287157,0.009678597454625022
