eez,meow,pct,ncell,mean_chi,sdev_chi,mean_fishing,mean_bycatch,mean_shipping,mean_trawl
1,55,0,5184,0.16897293584734593,0.01920004660323155,0,0,0,0
1,55,2,170,0.1696635292733417,0.003959479797639825,0,2.840751217530958e-5,7.036139269236146e-6,0
1,55,3,2677,0.17282263700268274,0.007519515448567553,0,3.933836281982167e-5,0,0
1,55,4,2677,0.15898517010748098,0.008178951106532396,0,3.9563534695906116e-5,0,0
1,55,5,2677,0.15930519232698284,0.007523275650113965,0,4.0500350473109866e-5,0,0
1,55,6,2677,0.15593952183786683,0.008711505734670636,0,4.2109982592061453e-5,0,0
1,55,7,2677,0.16055140079604097,0.008230472418231168,0,4.290990738835162e-5,0,0
1,55,8,2677,0.18462304817703976,0.014560740914802205,0,6.666389137316794e-5,2.048936026929876e-6,0
1,55,9,2677,0.1626792677167106,0.006122060402575106,0,7.842757903475806e-5,1.753715080915135e-7,0
1,55,10,2677,0.16511580124803563,0.01168354495611991,0,7.910721039255649e-5,0,0
1,55,11,2677,0.16554019418967764,0.005503770733143972,0,7.892335066724037e-5,9.079000684385719e-7,0
1,55,12,2677,0.16724023165033075,0.01912625204319169,0,8.548665572791737e-5,0,0
1,55,13,2677,0.1602295852229027,0.010969956879333739,0,9.08281702322371e-5,5.193578698568419e-6,0
1,55,14,2677,0.17486697800532625,0.008844415413258198,0,1.1724695044252736e-4,2.5777273507337204e-7,0
1,55,15,2677,0.16308038842335182,0.01105603105376046,0,1.1854502104317707e-4,8.805517740770312e-8,0
1,55,16,2677,0.15655853561180316,0.020432231552319848,0,1.2007097362522484e-4,1.3009855783933084e-7,0
1,55,17,2677,0.14338673897808418,0.01431577834508422,0,1.227475866241983e-4,2.641695963767965e-6,0
1,55,18,2677,0.1494846469960998,0.004364491015153585,0,1.2921018580241e-4,6.681919026320405e-8,0
1,55,19,2677,0.154380201806339,0.010344691080431425,0,1.249674715552225e-4,7.3525943890017665e-6,0
1,55,20,2677,0.16480743362636854,0.012214865944180194,0,1.5517879675577034e-4,1.0855840373062243e-6,0
1,55,21,2677,0.1554700785111615,0.014429432926463136,0,1.5893829012284685e-4,7.238994010014067e-7,0
1,55,22,2677,0.15371423229424866,0.006711998974923538,0,1.639561028188927e-4,5.886553277937868e-6,0
1,55,23,2677,0.159961000997761,0.008495178798425373,0,1.6574172128202088e-4,6.8675860096795725e-6,0
1,55,24,2676,0.16371722724316545,0.006052859851684325,0,1.8968824241423685e-4,6.0806504019412264e-6,0
1,55,25,2676,0.16507578469111245,0.012327890489821419,0,1.9672499306559602e-4,1.6375059948707561e-6,0
1,55,26,2676,0.153624327366083,0.01810381509707003,0,1.971356456649101e-4,5.015864949723878e-6,0
1,55,27,2676,0.16780769789622058,0.012650405849249431,0,2.076508637852624e-4,3.491135450234779e-6,0
1,55,28,2676,0.15862148722302397,0.008060461583690835,0,2.078322302796851e-4,1.2703184744462187e-5,0
1,55,29,2676,0.167681203149983,0.0077289789549723695,0,2.3397176767642997e-4,2.6812809333274827e-6,0
1,55,30,2676,0.15718949930839832,0.012724959205651696,0,2.3756557814172852e-4,2.3350613542905692e-6,0
1,55,31,2676,0.16798792970860976,0.014186914264813517,0,2.3434888204412947e-4,2.37911847324253e-5,0
1,55,32,2676,0.15735071010453283,0.008078350077071122,0,2.69805176973833e-4,5.984747435485437e-6,0
1,55,33,2676,0.15896057559425075,0.006211920693737634,0,2.776117798658603e-4,3.568074750664932e-6,0
1,55,34,2676,0.16789282515912313,0.010076033254217373,0,2.7670443958981936e-4,1.9227612380877867e-5,0
1,55,35,2676,0.16661834822040503,0.008262485141307042,0,2.9409290190821535e-4,1.732996186544379e-5,0
1,55,36,2676,0.16485224210939778,0.018078384251626844,0,2.5935403692883607e-4,8.917738264740901e-5,0
1,55,37,2676,0.16907578474537138,0.005740769037932072,0,3.7886878245446036e-4,1.6466703510166563e-5,2.605464920710535e-9
1,55,38,2676,0.17831823602597185,0.018265228891792988,0,3.7224914120167064e-4,5.86535103350965e-5,3.9733340083319526e-8
1,55,39,2676,0.16908430487964363,0.01428333426469071,0,3.7903248998495497e-4,7.207558385088779e-5,5.1457932311484675e-8
1,55,40,2676,0.16944547837964846,0.016163443829037262,0,3.5471132255924934e-4,1.5189627429045347e-4,1.7090857375074896e-7
1,55,41,2676,0.16607122570387628,0.017268488803356026,0,4.588113556748607e-4,1.504931663303218e-4,2.4680923734915477e-7
1,55,42,2676,0.16935781001075767,0.023824070586915137,0,2.4212917060751938e-4,5.240126450662664e-4,5.558030718105033e-7
1,55,43,2676,0.16870478320426915,0.023098511447115205,0,2.241022296420335e-4,8.195866831384512e-4,2.2211588657228276e-7
