eez,stressor,mean_imp
73,benth_str,2.321169229392678e-8
73,direct_human,0.003856432062194034
73,light,6.280773612543427e-4
73,nutrient,3.7843893339048e-4
73,ocean_acidification,0.07034716094533609
73,sea_level_rise,1.8686518993169516e-4
73,sst_extremes,0.07338979714514014
73,sst_rise,0.0072261593568772806
73,uv_radiation,0.027417700229616065
141,benth_str,0
141,direct_human,0.002931037477586757
141,light,2.6681237766233154e-4
141,nutrient,0.002311567757081943
141,ocean_acidification,0.027895916311340616
141,sea_level_rise,3.4104276076706164e-5
141,sst_extremes,0.04822473319542718
141,sst_rise,7.686933622939527e-4
141,uv_radiation,0.02814029007003911
143,benth_str,0
143,direct_human,0.004051018573082126
143,light,9.045982341438868e-4
143,nutrient,0.0051512933703646725
143,ocean_acidification,0.041225648868899054
143,sea_level_rise,8.090535409194546e-5
143,sst_extremes,0.07072697466705369
143,sst_rise,0.0024301368689966236
143,uv_radiation,0.01461054922054615
144,benth_str,0
144,direct_human,2.3024668573949782e-4
144,light,9.955825424016883e-6
144,nutrient,2.8987668617202037e-7
144,ocean_acidification,0.04744348155463645
144,sea_level_rise,3.940033839302308e-6
144,sst_extremes,0.09657807444169754
144,sst_rise,0.0016598116389977575
144,uv_radiation,0.016136805834073575
145,benth_str,0
145,direct_human,0.002694396273171465
145,light,7.274662527286803e-5
145,nutrient,1.5257484794027183e-5
145,ocean_acidification,0.06317841141361903
145,sea_level_rise,1.7037174363043772e-4
145,sst_extremes,0.042720951607416006
145,sst_rise,8.87382369414135e-4
145,uv_radiation,0.011310387780413232
163,benth_str,0
163,direct_human,0.0013882304294351268
163,light,2.135094983567907e-4
163,nutrient,3.672179088919831e-4
163,ocean_acidification,0.05186381846910071
163,sea_level_rise,1.1514906162164993e-4
163,sst_extremes,0.0965173130779146
163,sst_rise,0.010951894137747139
163,uv_radiation,0.0440576748090611
218,benth_str,0
218,direct_human,0.0012551219791567415
218,light,1.4054806586046275e-4
218,nutrient,6.993130761220977e-4
218,ocean_acidification,0.09221860456235556
218,sea_level_rise,4.636904128492868e-4
218,sst_extremes,0.03405519489172142
218,sst_rise,0.005334501730785434
218,uv_radiation,0.014417720684510228
223,benth_str,1.242638587767982e-6
223,direct_human,0.004318668781905801
223,light,0.001498440331026153
223,nutrient,0.0032049102749803515
223,ocean_acidification,0.04658624635857837
223,sea_level_rise,1.524456666061685e-4
223,sst_extremes,0.07285761378858299
223,sst_rise,0.00686944785331831
223,uv_radiation,0.024700085707661176
260,benth_str,0
260,direct_human,0
260,light,0
260,nutrient,0
260,ocean_acidification,0.07423573118097002
260,sea_level_rise,0
260,sst_extremes,0.034956741400957635
260,sst_rise,1.6035019123766418e-5
260,uv_radiation,0.014343576716188845
272,benth_str,0
272,direct_human,0
272,light,0
272,nutrient,0
272,ocean_acidification,0.023012083001610822
272,sea_level_rise,0
272,sst_extremes,0.08592984482896389
272,sst_rise,0.008553052705282326
272,uv_radiation,0.030025392098103648
