eez,meow,pct,ncell,mean_chi,sdev_chi,mean_fishing,mean_bycatch,mean_shipping,mean_trawl
1,55,1,2677,0.12703320904689513,0.017708682540630467,0,1.1108217169635493e-4,4.4823797981832135e-4,0
1,55,2,2677,0.13953638415217265,0.001593812444661818,0,1.4470677205766206e-4,4.606303875829228e-4,0
1,55,3,2677,0.14335054144691878,6.574033119765275e-4,0,1.585154886153792e-4,3.3260262935589524e-4,0
1,55,4,2677,0.14523417997213278,4.655461269247017e-4,0,1.5192162656710973e-4,3.481369614011448e-4,0
1,55,5,2677,0.1465746356027537,3.281204367732936e-4,0,1.3983028787759654e-4,3.0688602751442013e-4,0
1,55,6,2677,0.1477018689425703,3.3481997506956874e-4,0,1.5121612098264951e-4,3.5677155862547094e-4,0
1,55,7,2677,0.14883567451829557,3.0670491094089014e-4,0,1.5391245189606522e-4,3.8246339664803943e-4,0
1,55,8,2677,0.1497966374062227,2.5497278365034726e-4,0,1.5686322646099664e-4,3.9379822976260705e-4,0
1,55,9,2677,0.15067739955048354,2.609363921728003e-4,0,1.5060657190815534e-4,4.077464391165472e-4,0
1,55,10,2677,0.15158266718034918,2.57631029551338e-4,0,1.54947288368605e-4,4.0944910799907435e-4,0
1,55,11,2677,0.15246036662109583,2.4978754677659146e-4,0,1.6189380168815993e-4,5.509590074825831e-4,0
1,55,12,2677,0.153310834209243,2.426564559987325e-4,0,1.6885975950025865e-4,5.455032138987919e-4,0
1,55,13,2677,0.15411199087142766,2.3321650235694525e-4,0,1.6254012114081797e-4,5.566688107818979e-4,0
1,55,14,2677,0.15493929786917252,2.3575315317802317e-4,0,1.671272581138454e-4,5.896621900242125e-4,0
1,55,15,2677,0.15577011512850575,2.4303036325554694e-4,0,1.6471932293671472e-4,6.668322204025847e-4,0
1,55,16,2677,0.15663074329912907,2.570265533476414e-4,0,1.9015972406395657e-4,7.035317485656624e-4,0
1,55,17,2677,0.15755775192356572,2.763310737184102e-4,0,1.8905582919462086e-4,8.767255135195499e-4,0
1,55,18,2677,0.15848255480876555,2.5265282617938453e-4,0,1.8793769521643927e-4,7.810885069290621e-4,0
1,55,19,2677,0.15932390723916012,2.4286167031603557e-4,0,1.8922753488799946e-4,8.712263338584804e-4,0
1,55,20,2677,0.16012950942927792,2.2440157668504918e-4,0,2.3381879671125318e-4,7.678221008252939e-4,0
1,55,21,2677,0.16087781021988654,2.1406228866420303e-4,0,2.8330071587638893e-4,8.354157562518127e-4,3.2556145959893824e-9
1,55,22,2677,0.1615942472903017,2.0350830708893076e-4,0,3.186146580106719e-4,9.150779875093078e-4,0
1,55,23,2677,0.16226970664057483,1.9312914113249867e-4,0,3.9350858923690264e-4,9.096347989948005e-4,1.8752339692385556e-7
1,55,24,2676,0.16292137635930237,1.8377190021287763e-4,0,4.610651120746228e-4,7.854595112107452e-4,0
1,55,25,2676,0.1635325081501663,1.7820897740565786e-4,0,3.782007628620685e-4,7.838157168383162e-4,0
1,55,26,2676,0.16418826547193777,1.9412714425263785e-4,0,3.076960995159997e-4,8.587115068597171e-4,1.3418144842968927e-7
1,55,27,2676,0.16485579328553024,1.9635867324182673e-4,0,3.080658925533112e-4,9.263682900599781e-4,2.4165687237303113e-7
